,winner_idx,wins,traffic,conversion
0,1,55,1401,0.039257673090649536
1,1,90,1837,0.04899292324442025
2,1,76,1833,0.041462084015275506
3,1,470,10384,0.04526194144838212
4,1,456,10748,0.04242649795310755
5,1,360,8079,0.04455997029335314
6,1,116,2351,0.04934070608251808
7,1,53,1401,0.03783012134189864
8,1,226,4296,0.05260707635009311
9,1,368,7793,0.047221865776979344
10,1,82,1771,0.04630152456239413
11,1,155,3356,0.046185935637663884
12,1,64,1452,0.0440771349862259
13,1,66,1401,0.047109207708779445
14,1,346,7512,0.046059637912673056
15,1,142,3365,0.04219910846953938
16,1,177,3636,0.04867986798679868
17,1,134,2760,0.04855072463768116
18,1,65,1401,0.046395431834404
19,1,137,2945,0.046519524617996605
20,0,121,2880,0.04201388888888889
21,1,212,4285,0.04947491248541423
22,0,83,1675,0.04955223880597015
23,1,291,6096,0.04773622047244094
24,1,408,7963,0.0512369709908326
25,1,271,5663,0.047854494084407555
26,1,69,1401,0.04925053533190578
27,1,72,1503,0.04790419161676647
28,1,244,4806,0.05076987099459009
29,1,212,4364,0.04857928505957837
30,1,61,1401,0.04354032833690221
31,1,423,9154,0.04620930740659821
32,1,232,4763,0.04870879697669536
33,1,151,3333,0.045304530453045305
34,1,77,1439,0.05350938151494093
35,1,70,1401,0.049964311206281226
36,1,210,5213,0.04028390562056398
37,1,60,1401,0.042826552462526764
38,1,69,1401,0.04925053533190578
39,1,95,2567,0.03700818075574601
40,1,73,1401,0.052105638829407566
41,0,149,3088,0.04825129533678756
42,1,171,3478,0.049166187464059805
43,1,94,1881,0.049973418394471024
44,1,199,4027,0.0494164390365036
45,1,110,2567,0.04285157771717959
46,1,80,1679,0.047647409172126266
47,1,64,1401,0.04568165596002855
48,1,78,1639,0.04758999389871873
49,1,63,1401,0.044967880085653104
50,1,70,1401,0.049964311206281226
51,1,142,3375,0.042074074074074076
52,1,63,1408,0.044744318181818184
53,1,74,1401,0.05281941470378301
54,1,72,1402,0.05135520684736091
55,1,274,5946,0.04608139926000673
56,1,588,11866,0.04955334569357829
57,1,51,1401,0.03640256959314775
58,1,71,1401,0.05067808708065667
59,1,58,1401,0.04139900071377588
60,1,67,1401,0.04782298358315489
61,1,80,1480,0.05405405405405406
62,0,288,6854,0.04201925882696236
63,1,764,17265,0.044251375615406895
64,0,78,2027,0.038480513073507645
65,1,104,2611,0.03983148219073152
66,1,67,1401,0.04782298358315489
67,1,191,3861,0.04946904946904947
68,1,77,1401,0.054960742326909354
69,1,905,19623,0.04611934974264893
70,1,332,7104,0.046734234234234236
71,1,89,2509,0.03547229972100439
72,1,84,1596,0.05263157894736842
73,1,60,1401,0.042826552462526764
74,1,80,1401,0.05710206995003569
75,1,148,3351,0.04416592062071024
76,1,128,2280,0.056140350877192984
77,1,186,4229,0.04398202884842752
78,0,88,2233,0.03940886699507389
79,1,83,1573,0.052765416401780035
80,1,75,1401,0.05353319057815846
81,1,78,1511,0.05162144275314361
82,1,175,4060,0.04310344827586207
83,1,504,11593,0.04347451048046235
84,1,64,1401,0.04568165596002855
85,1,116,2453,0.047289033836119036
86,1,77,1855,0.04150943396226415
87,0,140,2826,0.04953998584571833
88,0,53,1401,0.03783012134189864
89,1,69,1428,0.04831932773109244
90,1,123,2994,0.041082164328657314
91,1,71,1440,0.049305555555555554
92,1,232,5215,0.04448705656759348
93,1,66,1401,0.047109207708779445
94,1,469,10889,0.04307098907154008
95,0,109,2892,0.03769017980636238
96,1,62,1401,0.04425410421127766
97,0,49,1401,0.03497501784439686
98,1,59,1401,0.042112776588151324
99,1,597,13307,0.04486360562110168
