,winner_idx,wins,traffic,conversion
0,1,67,1401,0.04782298358315489
1,1,56,1401,0.03997144896502498
2,0,207,4674,0.044287548138639284
3,0,55,1401,0.039257673090649536
4,1,164,3483,0.047085845535457936
5,1,54,1401,0.03854389721627409
6,1,72,1440,0.05
7,1,283,6730,0.04205052005943537
8,1,105,2157,0.048678720445062586
9,1,68,1401,0.04853675945753034
10,1,161,3399,0.047366872609591056
11,1,70,1401,0.049964311206281226
12,1,217,4484,0.0483942908117752
13,1,159,3640,0.04368131868131868
14,1,92,1834,0.05016357688113413
15,1,75,1401,0.05353319057815846
16,1,439,9774,0.04491508082668304
17,1,527,11992,0.04394596397598399
18,1,75,1401,0.05353319057815846
19,1,64,1401,0.04568165596002855
20,0,254,5734,0.04429717474712243
21,1,67,1401,0.04782298358315489
22,1,120,2381,0.0503989920201596
23,0,99,2021,0.048985650667986144
24,1,255,6159,0.04140282513395031
25,1,63,1401,0.044967880085653104
26,0,73,1426,0.05119214586255259
27,1,135,3047,0.04430587463078438
28,1,100,1894,0.05279831045406547
29,1,70,1405,0.0498220640569395
30,1,300,6266,0.047877433769549956
31,1,553,12162,0.04546949514882421
32,1,63,1402,0.0449358059914408
33,1,58,1529,0.03793328973185088
34,1,206,4423,0.046574723038661545
35,1,143,3199,0.044701469209127855
36,1,191,4339,0.04401935929937774
37,0,50,1401,0.03568879371877231
38,1,226,4785,0.04723092998955068
39,1,333,7352,0.04529379760609358
40,0,133,2756,0.04825834542815675
41,1,72,1742,0.04133180252583238
42,1,104,2375,0.043789473684210524
43,0,276,5990,0.04607679465776294
44,0,75,1406,0.05334281650071124
45,1,76,1401,0.05424696645253391
46,1,66,1401,0.047109207708779445
47,1,139,3391,0.04099085815393689
48,1,88,1876,0.046908315565031986
49,1,65,1406,0.04623044096728307
50,1,169,3736,0.0452355460385439
51,1,125,2555,0.04892367906066536
52,1,81,1787,0.045327364297705654
53,0,75,1401,0.05353319057815846
54,1,67,1436,0.04665738161559889
55,1,74,1401,0.05281941470378301
56,1,63,1655,0.038066465256797584
57,1,119,2800,0.0425
58,1,58,1401,0.04139900071377588
59,1,135,3336,0.040467625899280574
60,1,71,1401,0.05067808708065667
61,1,98,2042,0.047992164544564155
62,1,103,1963,0.05247070809984717
63,0,59,1401,0.042112776588151324
64,1,88,1612,0.05459057071960298
65,1,166,3412,0.04865181711606096
66,1,161,3179,0.05064485687323057
67,0,195,4476,0.0435656836461126
68,1,199,4610,0.04316702819956616
69,1,55,1401,0.039257673090649536
70,0,58,1401,0.04139900071377588
71,1,185,4881,0.037902069248104894
72,1,60,1401,0.042826552462526764
73,0,55,1401,0.039257673090649536
74,1,93,2144,0.04337686567164179
75,1,89,1401,0.0635260528194147
76,1,109,2524,0.04318541996830428
77,1,352,7748,0.04543107898812597
78,1,64,1401,0.04568165596002855
79,1,76,1747,0.04350314825414997
80,1,75,1592,0.0471105527638191
81,1,82,1401,0.05852962169878658
82,1,250,5519,0.0452980612429788
83,1,143,3105,0.04605475040257649
84,1,87,2099,0.041448308718437354
85,1,74,1401,0.05281941470378301
86,1,64,1401,0.04568165596002855
87,0,401,8271,0.048482650223673075
88,1,78,1401,0.055674518201284794
89,1,58,1401,0.04139900071377588
90,1,68,1401,0.04853675945753034
91,0,54,1401,0.03854389721627409
92,1,86,1763,0.04878048780487805
93,1,168,3699,0.0454176804541768
94,1,116,2175,0.05333333333333334
95,0,57,1783,0.03196859226023556
96,0,64,1401,0.04568165596002855
97,1,249,5116,0.048670836591086786
98,1,67,1407,0.047619047619047616
99,1,125,2669,0.04683402023229674
