,winner_idx,wins,traffic,conversion
0,0,71,1401,0.05067808708065667
1,1,67,1401,0.04782298358315489
2,1,65,1401,0.046395431834404
3,1,66,1401,0.047109207708779445
4,1,72,1401,0.05139186295503212
5,0,73,1579,0.04623179227359088
6,0,60,1423,0.0421644413211525
7,1,82,1401,0.05852962169878658
8,1,102,2219,0.04596665164488508
9,1,59,1401,0.042112776588151324
10,1,87,1401,0.06209850107066381
11,0,72,1498,0.04806408544726302
12,0,67,1401,0.04782298358315489
13,1,53,1419,0.037350246652572236
14,1,73,1401,0.052105638829407566
15,0,83,2161,0.03840814437760296
16,0,56,1439,0.03891591382904795
17,0,70,1401,0.049964311206281226
18,1,66,1401,0.047109207708779445
19,1,64,1401,0.04568165596002855
20,1,72,1401,0.05139186295503212
21,0,68,1554,0.043758043758043756
22,1,43,1403,0.030648610121168925
23,1,80,1419,0.05637773079633545
24,1,69,1401,0.04925053533190578
25,0,87,1401,0.06209850107066381
26,1,70,1648,0.04247572815533981
27,1,69,1401,0.04925053533190578
28,1,76,1401,0.05424696645253391
29,1,69,1401,0.04925053533190578
30,1,91,1401,0.0649536045681656
31,1,55,1401,0.039257673090649536
32,1,70,1401,0.049964311206281226
33,1,68,1401,0.04853675945753034
34,1,64,1401,0.04568165596002855
35,0,62,1401,0.04425410421127766
36,0,60,1401,0.042826552462526764
37,0,69,1401,0.04925053533190578
38,1,69,1405,0.04911032028469751
39,0,59,1401,0.042112776588151324
40,0,68,1802,0.03773584905660377
41,0,67,1401,0.04782298358315489
42,0,50,1401,0.03568879371877231
43,0,63,1401,0.044967880085653104
44,1,75,1401,0.05353319057815846
45,1,65,1401,0.046395431834404
46,1,70,1401,0.049964311206281226
47,1,69,1401,0.04925053533190578
48,1,70,1401,0.049964311206281226
49,1,69,1503,0.04590818363273453
50,1,63,1401,0.044967880085653104
51,1,66,1401,0.047109207708779445
52,1,62,1401,0.04425410421127766
53,1,67,1401,0.04782298358315489
54,1,68,1401,0.04853675945753034
55,0,77,1408,0.0546875
56,1,63,1401,0.044967880085653104
57,0,72,1401,0.05139186295503212
58,1,66,1401,0.047109207708779445
59,1,61,1401,0.04354032833690221
60,1,61,1492,0.04088471849865952
61,1,74,1401,0.05281941470378301
62,0,60,1427,0.04204625087596356
63,1,111,1807,0.061427780852241286
64,1,54,1401,0.03854389721627409
65,0,64,1401,0.04568165596002855
66,0,66,1401,0.047109207708779445
67,1,69,1401,0.04925053533190578
68,0,97,1625,0.05969230769230769
69,1,55,1401,0.039257673090649536
70,0,72,1401,0.05139186295503212
71,1,59,1411,0.041814316087880936
72,1,80,1401,0.05710206995003569
73,1,69,1401,0.04925053533190578
74,1,82,1401,0.05852962169878658
75,1,64,1401,0.04568165596002855
76,1,61,1401,0.04354032833690221
77,1,63,1401,0.044967880085653104
78,1,63,1401,0.044967880085653104
79,1,58,1401,0.04139900071377588
80,1,73,1401,0.052105638829407566
81,1,90,1401,0.06423982869379015
82,1,61,1401,0.04354032833690221
83,1,63,1401,0.044967880085653104
84,1,67,1401,0.04782298358315489
85,0,67,1488,0.04502688172043011
86,1,52,1401,0.037116345467523196
87,0,62,1401,0.04425410421127766
88,1,68,1507,0.0451227604512276
89,1,67,1401,0.04782298358315489
90,1,60,1401,0.042826552462526764
91,1,64,1401,0.04568165596002855
92,0,55,1401,0.039257673090649536
93,0,55,1401,0.039257673090649536
94,1,76,1401,0.05424696645253391
95,1,70,1401,0.049964311206281226
96,1,55,1406,0.03911806543385491
97,0,67,1402,0.04778887303851641
98,1,71,1446,0.04910096818810512
99,1,76,1416,0.05367231638418079
