,winner_idx,wins,traffic,conversion
0,1,275,5413,0.050803620912617774
1,1,71,1401,0.05067808708065667
2,0,69,1401,0.04925053533190578
3,1,243,5517,0.04404567699836868
4,0,722,15173,0.04758452514334673
5,1,72,1402,0.05135520684736091
6,1,410,8288,0.04946911196911197
7,1,215,4771,0.045063927897715364
8,1,102,2413,0.042271031910484876
9,1,80,1401,0.05710206995003569
10,1,372,7630,0.04875491480996068
11,1,75,1402,0.05349500713266762
12,1,58,1490,0.038926174496644296
13,1,172,3715,0.046298788694481834
14,1,595,12535,0.04746709214200239
15,1,663,14557,0.04554509857800371
16,1,81,1401,0.057815845824411134
17,1,86,1776,0.04842342342342342
18,1,108,2258,0.047829937998228524
19,1,58,1401,0.04139900071377588
20,1,366,7235,0.05058742225293711
21,1,541,11080,0.04882671480144404
22,1,168,3742,0.04489577765900588
23,1,106,2068,0.05125725338491296
24,1,972,20242,0.04801897045746468
25,1,83,1655,0.050151057401812686
26,1,333,6996,0.04759862778730703
27,1,719,15284,0.04704265898979325
28,1,70,1402,0.04992867332382311
29,1,804,16002,0.050243719535058115
30,0,312,6046,0.051604366523321205
31,1,71,1506,0.04714475431606906
32,1,410,8167,0.05020203257009918
33,1,428,8649,0.049485489651982885
34,1,157,3076,0.05104031209362809
35,1,72,1602,0.0449438202247191
36,1,116,2377,0.04880100967606226
37,1,67,1401,0.04782298358315489
38,1,977,20510,0.047635299853729884
39,1,120,2318,0.05176876617773943
40,1,64,1446,0.04426002766251729
41,1,260,5089,0.05109058754175673
42,1,72,1401,0.05139186295503212
43,1,571,11768,0.04852141400407886
44,1,274,5470,0.05009140767824497
45,1,223,5335,0.04179943767572634
46,1,278,6216,0.044723294723294726
47,1,578,11707,0.04937217049628428
48,1,436,9237,0.04720147233950417
49,1,479,9977,0.04801042397514283
50,1,601,12462,0.04822660889102873
51,1,996,22166,0.04493368221600649
52,0,68,1459,0.04660726525017135
53,1,76,1401,0.05424696645253391
54,1,93,1890,0.049206349206349205
55,1,408,8887,0.04590975582311241
56,1,110,2864,0.03840782122905028
57,1,57,1401,0.04068522483940043
58,1,71,1716,0.041375291375291376
59,1,277,5360,0.05167910447761194
60,1,1083,20990,0.05159599809433063
61,1,228,4915,0.04638860630722279
62,1,105,2089,0.05026328386787937
63,1,78,1402,0.05563480741797432
64,1,440,9037,0.048688724134115305
65,1,534,11246,0.047483549706562336
66,1,435,8862,0.04908598510494245
67,1,77,1401,0.054960742326909354
68,1,86,1459,0.05894448252227553
69,1,1921,38663,0.04968574606212658
70,1,74,1746,0.042382588774341354
71,1,261,6212,0.04201545396007727
72,0,88,2189,0.04020100502512563
73,1,360,7357,0.048932988990077475
74,1,83,1778,0.046681664791901015
75,1,83,1717,0.048340128130460104
76,1,80,1553,0.051513200257566
77,1,398,8019,0.04963212370619778
78,1,421,9080,0.04636563876651982
79,1,282,5568,0.05064655172413793
80,1,163,3396,0.04799764428739694
81,1,633,12974,0.04878988746724218
82,1,589,12303,0.047874502153946195
83,1,314,7022,0.044716604955853036
84,1,63,1401,0.044967880085653104
85,1,388,8129,0.04773034813630213
86,1,527,11290,0.046678476527900796
87,1,165,3384,0.04875886524822695
88,1,374,7909,0.04728789986091794
89,1,101,2096,0.048187022900763356
90,1,65,1404,0.046296296296296294
91,1,750,16289,0.04604334213272761
92,1,227,4968,0.04569243156199678
93,1,761,16106,0.047249472246367816
94,1,117,2746,0.04260742898761835
95,0,84,1401,0.059957173447537475
96,1,67,1401,0.04782298358315489
97,1,73,1487,0.04909213180901143
98,0,115,2035,0.056511056511056514
99,1,62,1401,0.04425410421127766
