,winner_idx,wins,traffic,conversion
0,0,60,1401,0.042826552462526764
1,1,67,1401,0.04782298358315489
2,1,70,1401,0.049964311206281226
3,1,75,1401,0.05353319057815846
4,1,69,1404,0.049145299145299144
5,0,62,1401,0.04425410421127766
6,1,70,1401,0.049964311206281226
7,1,57,1401,0.04068522483940043
8,1,81,1401,0.057815845824411134
9,0,64,1401,0.04568165596002855
10,0,59,1401,0.042112776588151324
11,0,70,1544,0.04533678756476684
12,0,68,1401,0.04853675945753034
13,0,74,1401,0.05281941470378301
14,1,61,1401,0.04354032833690221
15,1,64,1401,0.04568165596002855
16,1,82,1684,0.048693586698337295
17,1,68,1401,0.04853675945753034
18,0,46,1437,0.032011134307585246
19,0,68,1401,0.04853675945753034
20,0,85,1401,0.06067094932191292
21,1,68,1401,0.04853675945753034
22,0,68,1481,0.04591492234976367
23,0,51,1401,0.03640256959314775
24,0,62,1401,0.04425410421127766
25,1,64,1539,0.04158544509421702
26,0,65,1401,0.046395431834404
27,0,50,1488,0.033602150537634407
28,1,66,1401,0.047109207708779445
29,0,64,1401,0.04568165596002855
30,1,61,1401,0.04354032833690221
31,1,74,1774,0.04171364148816235
32,0,53,1401,0.03783012134189864
33,1,61,1401,0.04354032833690221
34,0,63,1401,0.044967880085653104
35,1,74,1401,0.05281941470378301
36,0,54,1401,0.03854389721627409
37,1,69,1415,0.04876325088339223
38,1,74,1401,0.05281941470378301
39,0,63,1401,0.044967880085653104
40,0,58,1401,0.04139900071377588
41,1,64,1401,0.04568165596002855
42,1,68,1401,0.04853675945753034
43,1,77,1401,0.054960742326909354
44,1,96,1896,0.05063291139240506
45,0,70,1401,0.049964311206281226
46,1,70,1401,0.049964311206281226
47,1,95,1568,0.06058673469387755
48,0,65,1401,0.046395431834404
49,1,56,1590,0.03522012578616352
50,1,66,1401,0.047109207708779445
51,1,66,1401,0.047109207708779445
52,1,65,1401,0.046395431834404
53,1,68,1401,0.04853675945753034
54,1,75,1401,0.05353319057815846
55,1,50,1401,0.03568879371877231
56,1,63,1401,0.044967880085653104
57,1,72,1401,0.05139186295503212
58,0,56,1401,0.03997144896502498
59,1,60,1401,0.042826552462526764
60,0,88,1858,0.04736275565123789
61,0,62,1401,0.04425410421127766
62,1,56,1401,0.03997144896502498
63,1,81,1643,0.049300060864272674
64,1,79,1580,0.05
65,0,60,1406,0.04267425320056899
66,1,99,1401,0.07066381156316917
67,0,75,1401,0.05353319057815846
68,0,58,1404,0.04131054131054131
69,0,66,1401,0.047109207708779445
70,1,60,1401,0.042826552462526764
71,1,72,1401,0.05139186295503212
72,0,50,1401,0.03568879371877231
73,0,66,1401,0.047109207708779445
74,1,68,1401,0.04853675945753034
75,1,67,1401,0.04782298358315489
76,0,81,1401,0.057815845824411134
77,0,67,1401,0.04782298358315489
78,0,76,1475,0.05152542372881356
79,1,68,1401,0.04853675945753034
80,1,70,1499,0.0466977985323549
81,1,72,1401,0.05139186295503212
82,0,72,1469,0.04901293396868618
83,1,61,1401,0.04354032833690221
84,0,71,1424,0.04985955056179775
85,1,70,1401,0.049964311206281226
86,1,60,1401,0.042826552462526764
87,1,68,1401,0.04853675945753034
88,1,68,1401,0.04853675945753034
89,1,61,1401,0.04354032833690221
90,1,58,1401,0.04139900071377588
91,1,62,1422,0.04360056258790436
92,1,64,1401,0.04568165596002855
93,0,54,1474,0.036635006784260515
94,0,53,1407,0.037668798862828715
95,1,82,1401,0.05852962169878658
96,1,64,1401,0.04568165596002855
97,0,66,1401,0.047109207708779445
98,1,80,1401,0.05710206995003569
99,0,89,2008,0.044322709163346616
