,winner_idx,wins,traffic,conversion
0,1,59,1401,0.042112776588151324
1,1,69,1441,0.047883414295628035
2,1,79,1401,0.05638829407566024
3,1,63,1402,0.0449358059914408
4,1,67,1401,0.04782298358315489
5,1,75,1401,0.05353319057815846
6,1,56,1431,0.039133473095737246
7,1,80,1401,0.05710206995003569
8,1,76,1401,0.05424696645253391
9,0,74,1401,0.05281941470378301
10,1,67,1401,0.04782298358315489
11,1,82,1595,0.05141065830721003
12,0,63,1401,0.044967880085653104
13,1,72,1660,0.043373493975903614
14,1,72,1401,0.05139186295503212
15,0,62,1401,0.04425410421127766
16,1,48,1401,0.034261241970021415
17,0,70,1401,0.049964311206281226
18,1,77,1401,0.054960742326909354
19,0,63,1401,0.044967880085653104
20,1,83,1401,0.05924339757316203
21,1,60,1401,0.042826552462526764
22,1,72,1401,0.05139186295503212
23,1,67,1401,0.04782298358315489
24,0,50,1401,0.03568879371877231
25,0,66,1408,0.046875
26,1,61,1401,0.04354032833690221
27,1,75,1401,0.05353319057815846
28,1,68,1470,0.04625850340136054
29,1,65,1401,0.046395431834404
30,1,69,1401,0.04925053533190578
31,1,62,1401,0.04425410421127766
32,1,82,1401,0.05852962169878658
33,1,54,1401,0.03854389721627409
34,1,70,1586,0.044136191677175286
35,1,51,1401,0.03640256959314775
36,1,80,1401,0.05710206995003569
37,0,64,1411,0.04535790219702339
38,1,60,1404,0.042735042735042736
39,0,72,1401,0.05139186295503212
40,1,61,1401,0.04354032833690221
41,0,53,1401,0.03783012134189864
42,1,64,1401,0.04568165596002855
43,1,84,1401,0.059957173447537475
44,1,71,1401,0.05067808708065667
45,0,123,2371,0.0518768452129903
46,1,75,1401,0.05353319057815846
47,0,206,5086,0.040503342508847816
48,1,56,1401,0.03997144896502498
49,1,68,1401,0.04853675945753034
50,1,70,1401,0.049964311206281226
51,1,64,1401,0.04568165596002855
52,1,77,1401,0.054960742326909354
53,1,53,1401,0.03783012134189864
54,1,75,1401,0.05353319057815846
55,1,69,1401,0.04925053533190578
56,1,98,1810,0.05414364640883978
57,1,62,1401,0.04425410421127766
58,1,63,1401,0.044967880085653104
59,1,74,1473,0.05023761031907671
60,0,77,1401,0.054960742326909354
61,1,84,1401,0.059957173447537475
62,1,85,1893,0.04490227152667723
63,1,68,1401,0.04853675945753034
64,1,66,1520,0.04342105263157895
65,1,68,1401,0.04853675945753034
66,1,96,1773,0.05414551607445008
67,1,65,1401,0.046395431834404
68,0,82,1414,0.05799151343705799
69,1,80,1401,0.05710206995003569
70,0,86,1993,0.04315102860010035
71,1,71,1401,0.05067808708065667
72,0,72,1838,0.03917301414581066
73,1,63,1402,0.0449358059914408
74,1,55,1401,0.039257673090649536
75,1,65,1401,0.046395431834404
76,1,69,1401,0.04925053533190578
77,1,77,1589,0.048458149779735685
78,1,81,1401,0.057815845824411134
79,1,75,1401,0.05353319057815846
80,1,69,1401,0.04925053533190578
81,1,60,1401,0.042826552462526764
82,1,65,1401,0.046395431834404
83,1,79,1401,0.05638829407566024
84,0,93,1719,0.05410122164048865
85,1,83,1401,0.05924339757316203
86,1,60,1401,0.042826552462526764
87,1,68,1401,0.04853675945753034
88,0,74,1401,0.05281941470378301
89,1,78,1401,0.055674518201284794
90,1,61,1415,0.0431095406360424
91,1,58,1401,0.04139900071377588
92,0,72,1432,0.05027932960893855
93,1,64,1401,0.04568165596002855
94,1,68,1401,0.04853675945753034
95,1,72,1401,0.05139186295503212
96,0,67,1401,0.04782298358315489
97,1,62,1481,0.04186360567184335
98,1,116,2831,0.04097492052278347
99,1,55,1402,0.039229671897289584
