,winner_idx,wins,traffic,conversion
0,1,206,4275,0.04818713450292398
1,1,1046,22089,0.04735388654986645
2,1,108,1909,0.05657412257726559
3,1,142,2997,0.047380714047380715
4,1,82,1439,0.05698401667824878
5,1,2002,42526,0.0470770822555613
6,1,114,2233,0.05105239587998209
7,1,365,7296,0.050027412280701754
8,1,595,12491,0.047634296693619405
9,1,92,1761,0.05224304372515616
10,1,309,7257,0.04257957833815626
11,1,90,1948,0.04620123203285421
12,1,188,4315,0.04356894553881808
13,1,69,1568,0.04400510204081633
14,1,319,6340,0.050315457413249214
15,1,436,8966,0.04862815079188044
16,1,61,1402,0.043509272467902996
17,1,933,20302,0.045956063442025415
18,1,529,11464,0.04614445219818562
19,1,404,8200,0.04926829268292683
20,1,325,5939,0.05472301734298703
21,1,82,1777,0.04614518851997749
22,1,899,18632,0.04825032202662087
23,1,1291,26549,0.04862706693284116
24,1,65,1401,0.046395431834404
25,1,1056,21456,0.049217002237136466
26,1,277,5651,0.049017872942841975
27,1,65,1402,0.046362339514978604
28,1,135,2476,0.05452342487883683
29,1,190,3597,0.052821795941062
30,1,399,9412,0.042392690182745434
31,1,413,7755,0.053255963894261765
32,1,206,4699,0.043839114705256435
33,1,205,4669,0.04390661811951167
34,1,1105,24088,0.04587346396545998
35,1,420,9174,0.04578155657292348
36,1,203,4211,0.04820707670387082
37,1,358,7537,0.04749900490911503
38,1,72,1756,0.04100227790432802
39,0,257,5921,0.043404830265157915
40,1,173,3879,0.04459912348543439
41,1,288,5881,0.04897126339057983
42,1,1295,27416,0.04723519112926758
43,1,65,1405,0.046263345195729534
44,1,340,7222,0.047078371642204374
45,1,86,1901,0.04523934771173067
46,1,83,1553,0.05344494526722473
47,1,321,6205,0.05173247381144239
48,1,257,5501,0.04671877840392656
49,1,549,12180,0.045073891625615765
50,1,468,10074,0.04645622394282311
51,1,308,6793,0.04534079199175622
52,1,89,1721,0.051714119697850086
53,1,601,14422,0.04167244487588406
54,1,1066,21142,0.050420963012014
55,1,67,1401,0.04782298358315489
56,1,328,7016,0.046750285062713795
57,1,133,2800,0.0475
58,1,120,2826,0.04246284501061571
59,1,126,3022,0.04169424222369292
60,1,506,10981,0.046079592022584465
61,1,769,16168,0.04756308758040574
62,1,406,9009,0.045066045066045064
63,1,1259,25038,0.05028356897515776
64,1,126,2687,0.046892445106066244
65,1,1552,31989,0.04851667760792772
66,1,109,2149,0.05072126570497906
67,1,338,7025,0.04811387900355872
68,1,215,4598,0.046759460635058724
69,1,286,5548,0.051550108147080026
70,1,74,1492,0.049597855227882036
71,1,453,8910,0.05084175084175084
72,1,751,16057,0.04677087874447282
73,1,1340,28379,0.047218013319708235
74,1,79,1433,0.05512909979064899
75,1,131,2324,0.05636833046471601
76,1,995,22479,0.044263534854753324
77,1,74,1401,0.05281941470378301
78,1,407,8269,0.04921997823195066
79,1,982,19923,0.04928976559755057
80,1,80,1649,0.04851425106124924
81,1,73,1462,0.04993160054719562
82,1,284,5826,0.04874699622382424
83,1,61,1402,0.043509272467902996
84,1,1842,36213,0.05086571120868197
85,1,538,11113,0.04841176999910015
86,1,693,13950,0.04967741935483871
87,1,315,6698,0.04702896386981188
88,1,637,13740,0.04636098981077147
89,1,68,1401,0.04853675945753034
90,1,70,1470,0.047619047619047616
91,1,56,1420,0.03943661971830986
92,1,697,13729,0.05076844635443222
93,0,233,4581,0.050862257149094085
94,1,135,2921,0.046217048955837045
95,1,140,2518,0.05559968228752978
96,1,410,7999,0.05125640705088136
97,1,105,2229,0.047106325706594884
98,1,330,6989,0.04721705537272857
99,1,732,14944,0.04898286937901499
