,n_arms,epsilon,true_winner_idx,winner_idx,true_winner_ctr,winner_ctr,traffic,wins,baseline
88,2.0,0.6,0.0,0.0,0.23162468720317156,0.23162468720317156,4609.0,968.0,0.21573939548298696
89,2.0,0.6,1.0,1.0,0.2232459374517487,0.2232459374517487,1003.0,154.0,0.18100500769717845
90,2.0,0.6,0.0,0.0,0.19660891640907832,0.19660891640907832,5748.0,1043.0,0.18215329147877568
91,2.0,0.6,1.0,1.0,0.15074596933388723,0.15074596933388723,10682.0,1581.0,0.14903853658759658
92,2.0,0.6,1.0,1.0,0.22475830893412646,0.22475830893412646,1003.0,178.0,0.18957350139292373
93,2.0,0.6,0.0,0.0,0.12349849035471464,0.12349849035471464,1018.0,118.0,0.10418998054541272
94,2.0,0.6,1.0,1.0,0.17002549208361384,0.17002549208361384,51004.0,8494.0,0.16552668827759576
95,2.0,0.6,1.0,1.0,0.25474091985199465,0.25474091985199465,1003.0,229.0,0.22505623993414264
96,2.0,0.7000000000000001,0.0,1.0,0.23243690719153803,0.23026430703077563,1021.0,253.0,0.23135060711115685
97,2.0,0.7000000000000001,1.0,1.0,0.26468640034063995,0.26468640034063995,2002.0,442.0,0.24204931155150058
98,2.0,0.7000000000000001,0.0,0.0,0.2013753294737654,0.2013753294737654,1003.0,160.0,0.1641141661347402
99,2.0,0.7000000000000001,0.0,0.0,0.2477262551734412,0.2477262551734412,1003.0,197.0,0.21425197124068346
100,2.0,0.7000000000000001,1.0,1.0,0.19959845581031793,0.19959845581031793,1003.0,146.0,0.15333024651118005
101,2.0,0.7000000000000001,1.0,1.0,0.24647650730478451,0.24647650730478451,1650.0,312.0,0.2028141179211851
102,2.0,0.7000000000000001,0.0,0.0,0.29764219883602977,0.29764219883602977,1003.0,234.0,0.23617682469101553
103,2.0,0.7000000000000001,1.0,1.0,0.26235684470740894,0.26235684470740894,2064.0,498.0,0.2371541651065836
104,2.0,0.7000000000000001,0.0,0.0,0.1863343897118609,0.1863343897118609,2467.0,402.0,0.17089301489221057
105,2.0,0.7000000000000001,1.0,1.0,0.20238225982488922,0.20238225982488922,5103.0,940.0,0.18580576156203676
106,2.0,0.7000000000000001,1.0,1.0,0.2698433877463732,0.2698433877463732,9471.0,2500.0,0.26340322232798113
107,2.0,0.7000000000000001,0.0,0.0,0.24174768579704858,0.24174768579704858,2808.0,644.0,0.22470339266133843
108,2.0,0.7000000000000001,1.0,1.0,0.20172870859305442,0.20172870859305442,4791.0,950.0,0.19601187988432667
109,2.0,0.7000000000000001,0.0,0.0,0.21137600378466612,0.21137600378466612,18069.0,3804.0,0.20779083221079683
110,2.0,0.7000000000000001,0.0,0.0,0.24847489042374787,0.24847489042374787,1003.0,231.0,0.22757928421499257
111,2.0,0.7000000000000001,0.0,0.0,0.22385775979122402,0.22385775979122402,67200.0,14666.0,0.22026842052666473
112,2.0,0.8,0.0,0.0,0.24583838159986485,0.24583838159986485,1003.0,196.0,0.21956445641661637
113,2.0,0.8,1.0,1.0,0.24010757809113523,0.24010757809113523,1003.0,173.0,0.1904421160420331
114,2.0,0.8,1.0,1.0,0.22491460007483996,0.22491460007483996,1622.0,352.0,0.2172616299277269
115,2.0,0.8,0.0,0.0,0.3005713449708216,0.3005713449708216,1003.0,218.0,0.2508326072774813
116,2.0,0.8,1.0,1.0,0.3226386427522262,0.3226386427522262,1003.0,135.0,0.21261224737864487
117,2.0,0.8,0.0,0.0,0.19999790916311289,0.19999790916311289,2909.0,490.0,0.17615307506013603
118,2.0,0.8,0.0,0.0,0.31859249462620715,0.31859249462620715,1003.0,215.0,0.2476378675628606
119,2.0,0.8,1.0,1.0,0.22414209202457613,0.22414209202457613,1003.0,152.0,0.17675963237003284
120,2.0,0.8,1.0,1.0,0.27292332802988245,0.27292332802988245,1003.0,235.0,0.2506104715092875
121,2.0,0.8,0.0,0.0,0.2784331207137448,0.2784331207137448,1044.0,227.0,0.23865981664837393
122,2.0,0.8,0.0,0.0,0.16866946635779592,0.16866946635779592,1860.0,272.0,0.15044031325920507
123,2.0,0.8,0.0,0.0,0.16534266444990808,0.16534266444990808,1026.0,144.0,0.15165302717127738
124,2.0,0.8,0.0,0.0,0.1952947091654288,0.1952947091654288,3070.0,625.0,0.19507605429574326
125,2.0,0.8,0.0,0.0,0.22063007562511427,0.22063007562511427,1003.0,157.0,0.1767545124942852
126,2.0,0.8,1.0,1.0,0.25210637357673316,0.25210637357673316,69949.0,17315.0,0.24780172970181302
127,2.0,0.8,1.0,1.0,0.21238603810533263,0.21238603810533263,1003.0,161.0,0.1675824617021381
128,3.0,0.1,0.0,0.0,0.20401058374324593,0.20401058374324593,7664.0,1447.0,0.18181661563127147
129,3.0,0.1,2.0,2.0,0.23892870403967575,0.23892870403967575,47666.0,11332.0,0.23129102129195148
130,3.0,0.1,1.0,1.0,0.25315264534386006,0.25315264534386006,1102.0,271.0,0.2056495680058008
131,3.0,0.1,1.0,1.0,0.25468418814820204,0.25468418814820204,1009.0,255.0,0.20307301609642558
132,3.0,0.1,2.0,2.0,0.2855381965950642,0.2855381965950642,2174.0,631.0,0.22644471936411956
133,3.0,0.1,1.0,1.0,0.2616544089410225,0.2616544089410225,1004.0,214.0,0.20092109930474178
134,3.0,0.1,1.0,1.0,0.24915375707857954,0.24915375707857954,1004.0,188.0,0.18348869923846176
135,3.0,0.1,1.0,1.0,0.2872262081453156,0.2872262081453156,2106.0,604.0,0.24115336567656664
136,3.0,0.1,1.0,1.0,0.23567474792189833,0.23567474792189833,8944.0,2062.0,0.18284972429276947
137,3.0,0.1,2.0,2.0,0.2117577488985005,0.2117577488985005,26131.0,5499.0,0.19622555208350181
138,3.0,0.1,2.0,2.0,0.21396722949078673,0.21396722949078673,5323.0,1106.0,0.1711229347354921
139,3.0,0.1,0.0,0.0,0.18077358606178545,0.18077358606178545,9407.0,1669.0,0.15673101623851635
140,3.0,0.1,0.0,0.0,0.2618530368997346,0.2618530368997346,30082.0,7863.0,0.2531133358577405
141,3.0,0.1,2.0,2.0,0.268673647400562,0.268673647400562,2124.0,500.0,0.22549910814180849
142,3.0,0.1,1.0,1.0,0.26076659068514635,0.26076659068514635,1055.0,257.0,0.2098264110749005
143,3.0,0.1,0.0,0.0,0.2442521811918952,0.2442521811918952,25671.0,6085.0,0.2333691885157977
144,3.0,0.2,0.0,0.0,0.27864175872377156,0.27864175872377156,1059.0,263.0,0.2111228045087508
145,3.0,0.2,0.0,0.0,0.19255862297814078,0.19255862297814078,3444.0,617.0,0.1634063329753731
146,3.0,0.2,1.0,1.0,0.2524347422254033,0.2524347422254033,1004.0,248.0,0.2078622569382118
147,3.0,0.2,0.0,0.0,0.24898806283107855,0.24898806283107855,15867.0,3787.0,0.20439971967989165
148,3.0,0.2,1.0,1.0,0.277526685482193,0.277526685482193,39634.0,9830.0,0.19430888279312794
149,3.0,0.2,1.0,1.0,0.23387044789113137,0.23387044789113137,1142.0,230.0,0.20151372629247075
150,3.0,0.2,0.0,0.0,0.29953482909115625,0.29953482909115625,1004.0,264.0,0.20164603276235812
151,3.0,0.2,0.0,2.0,0.22528205976790455,0.22411654800458072,6172.0,1327.0,0.19320893032683706
152,3.0,0.2,0.0,0.0,0.23789874045057716,0.23789874045057716,6074.0,1384.0,0.21073341537286527
153,3.0,0.2,2.0,2.0,0.2112501324797193,0.2112501324797193,1620.0,328.0,0.1870125620612678
154,3.0,0.2,1.0,1.0,0.1840724585414038,0.1840724585414038,66002.0,11487.0,0.15927676065315313
155,3.0,0.2,0.0,0.0,0.2056087720787305,0.2056087720787305,16649.0,3357.0,0.19325045435922142
156,3.0,0.2,0.0,0.0,0.2642383756155412,0.2642383756155412,1004.0,266.0,0.17569497566134618
157,3.0,0.2,2.0,2.0,0.23477473604002008,0.23477473604002008,21823.0,4771.0,0.20257436058875564
158,3.0,0.2,1.0,1.0,0.2972010529206989,0.2972010529206989,2450.0,722.0,0.2604777984638686
159,3.0,0.2,2.0,2.0,0.21145858723484895,0.21145858723484895,2087.0,400.0,0.18542131706223688
160,3.0,0.30000000000000004,2.0,2.0,0.21419084465211152,0.21419084465211152,12089.0,2413.0,0.18749415304411188
161,3.0,0.30000000000000004,1.0,1.0,0.23862056273406793,0.23862056273406793,2422.0,532.0,0.21017851106767116
162,3.0,0.30000000000000004,0.0,0.0,0.23584385805035282,0.23584385805035282,29424.0,6494.0,0.19948627379112682
163,3.0,0.30000000000000004,0.0,0.0,0.2787179686211085,0.2787179686211085,1004.0,250.0,0.2089270997604861
164,3.0,0.30000000000000004,1.0,1.0,0.22973595302971767,0.22973595302971767,22979.0,4997.0,0.20214474421213194
165,3.0,0.30000000000000004,0.0,0.0,0.24660631938147679,0.24660631938147679,100003.0,23658.0,0.22326526183385645
166,3.0,0.30000000000000004,2.0,2.0,0.2440844139882193,0.2440844139882193,1411.0,275.0,0.18784194768312068
167,3.0,0.30000000000000004,1.0,1.0,0.28262886765739187,0.28262886765739187,1004.0,230.0,0.22559443129126003
168,3.0,0.30000000000000004,2.0,2.0,0.2574440160439157,0.2574440160439157,1814.0,453.0,0.22888845756993778
169,3.0,0.30000000000000004,0.0,0.0,0.20828817556106588,0.20828817556106588,25153.0,5075.0,0.18320025673868864
170,3.0,0.30000000000000004,0.0,0.0,0.22398937213993125,0.22398937213993125,3395.0,730.0,0.20763501035385026
171,3.0,0.30000000000000004,2.0,2.0,0.29292548363775495,0.29292548363775495,1004.0,244.0,0.19195467459745644
172,3.0,0.30000000000000004,2.0,2.0,0.27536483664782313,0.27536483664782313,3213.0,773.0,0.2111688666689907
173,3.0,0.30000000000000004,1.0,1.0,0.2814626483571151,0.2814626483571151,1875.0,480.0,0.23122888121549956
174,3.0,0.30000000000000004,2.0,2.0,0.1833263446735847,0.1833263446735847,87104.0,14706.0,0.15545564472741566
175,3.0,0.30000000000000004,0.0,0.0,0.23942939504268054,0.23942939504268054,29553.0,6908.0,0.22289405053118724
176,3.0,0.4,2.0,2.0,0.21332806590914002,0.21332806590914002,100003.0,19737.0,0.18592530987401146
177,3.0,0.4,0.0,0.0,0.3383055752629145,0.3383055752629145,1004.0,304.0,0.2616658562861329
178,3.0,0.4,0.0,0.0,0.2804106261024579,0.2804106261024579,1004.0,227.0,0.17782253601449105
179,3.0,0.4,0.0,0.0,0.2686249689167789,0.2686249689167789,1497.0,379.0,0.2402831315710069
180,3.0,0.4,2.0,0.0,0.22974839027784968,0.22964354677421156,32908.0,7418.0,0.21950648939737505
181,3.0,0.4,2.0,2.0,0.24100627597420984,0.24100627597420984,1006.0,219.0,0.18748582214031084
182,3.0,0.4,1.0,1.0,0.23336468352913517,0.23336468352913517,1085.0,244.0,0.19641181481013814
183,3.0,0.4,1.0,1.0,0.26674474018806454,0.26674474018806454,1004.0,199.0,0.19436025369937285
184,3.0,0.4,1.0,1.0,0.1708558760297666,0.1708558760297666,6047.0,870.0,0.12276991953678573
185,3.0,0.4,0.0,0.0,0.25808065087578325,0.25808065087578325,1449.0,339.0,0.20670701376763237
186,3.0,0.4,0.0,0.0,0.22676569859943502,0.22676569859943502,40150.0,8839.0,0.2133187781679886
187,3.0,0.4,0.0,0.0,0.1843026403408735,0.1843026403408735,11956.0,2127.0,0.17446662812656255
188,3.0,0.4,0.0,0.0,0.20253608809914384,0.20253608809914384,1149.0,224.0,0.18508387541644158
189,3.0,0.4,2.0,2.0,0.25431597868022604,0.25431597868022604,1004.0,214.0,0.21979877461557074
190,3.0,0.4,0.0,0.0,0.24411186251686356,0.24411186251686356,1004.0,209.0,0.20779122590082574
191,3.0,0.4,0.0,0.0,0.31732163093185906,0.31732163093185906,1004.0,255.0,0.2134037514270978
192,3.0,0.5,1.0,1.0,0.24984047592259176,0.24984047592259176,11344.0,2571.0,0.2136359851317444
193,3.0,0.5,0.0,0.0,0.20549756843526742,0.20549756843526742,6328.0,1195.0,0.17759749709240877
194,3.0,0.5,0.0,0.0,0.2501199742662935,0.2501199742662935,1004.0,195.0,0.19243816334290872
195,3.0,0.5,0.0,0.0,0.24912977468401953,0.24912977468401953,1099.0,226.0,0.19144847619258046
196,3.0,0.5,1.0,0.0,0.20315512790681978,0.19472346137727295,14964.0,2924.0,0.1925678144862094
197,3.0,0.5,0.0,0.0,0.21947274027305405,0.21947274027305405,100003.0,20821.0,0.2083988595608424
198,3.0,0.5,0.0,0.0,0.2533249792437241,0.2533249792437241,1117.0,232.0,0.2071232116123339
199,3.0,0.5,0.0,0.0,0.2873377675913067,0.2873377675913067,11385.0,3250.0,0.2802418140551865
200,3.0,0.5,0.0,0.0,0.25892772036294215,0.25892772036294215,1178.0,251.0,0.2061614309931926
201,3.0,0.5,2.0,2.0,0.193749716411257,0.193749716411257,2183.0,342.0,0.15187824741045872
202,3.0,0.5,2.0,2.0,0.2591560518373453,0.2591560518373453,1004.0,209.0,0.19522949248656837
203,3.0,0.5,0.0,0.0,0.2127638369604906,0.2127638369604906,4894.0,965.0,0.20277420180710126
204,3.0,0.5,2.0,2.0,0.1930163789480496,0.1930163789480496,16932.0,3170.0,0.18151268015960897
205,3.0,0.5,0.0,2.0,0.18122666358152592,0.1773134782888406,4784.0,770.0,0.16034023080530338
206,3.0,0.5,0.0,0.0,0.20522750800447334,0.20522750800447334,32304.0,6262.0,0.18906120280743455
207,3.0,0.5,1.0,1.0,0.20674540444920678,0.20674540444920678,1053.0,179.0,0.18128844412832912
