,winner_idx,wins,traffic,conversion
0,1,72,1401,0.05139186295503212
1,1,65,1401,0.046395431834404
2,1,62,1401,0.04425410421127766
3,1,84,1803,0.04658901830282862
4,1,62,1401,0.04425410421127766
5,1,75,1541,0.04866969500324465
6,1,85,1549,0.05487411233053583
7,1,74,1401,0.05281941470378301
8,1,154,3503,0.0439623180131316
9,1,65,1401,0.046395431834404
10,1,58,1401,0.04139900071377588
11,1,96,2159,0.0444650301065308
12,1,61,1430,0.04265734265734266
13,1,82,1401,0.05852962169878658
14,1,82,1401,0.05852962169878658
15,1,197,4294,0.045877969259431765
16,1,70,1588,0.04408060453400504
17,1,55,1401,0.039257673090649536
18,1,160,3274,0.04886988393402566
19,1,220,5308,0.04144687264506405
20,1,55,1401,0.039257673090649536
21,1,68,1404,0.04843304843304843
22,1,62,1401,0.04425410421127766
23,1,75,1401,0.05353319057815846
24,1,104,1982,0.05247225025227043
25,1,63,1425,0.04421052631578947
26,1,88,1876,0.046908315565031986
27,1,86,1813,0.04743519029233315
28,1,62,1401,0.04425410421127766
29,1,86,1810,0.04751381215469613
30,0,67,1401,0.04782298358315489
31,0,99,2172,0.04558011049723757
32,0,114,2496,0.04567307692307692
33,1,57,1401,0.04068522483940043
34,1,70,1401,0.049964311206281226
35,1,51,1401,0.03640256959314775
36,1,55,1401,0.039257673090649536
37,1,64,1401,0.04568165596002855
38,1,376,7996,0.04702351175587794
39,1,60,1401,0.042826552462526764
40,0,171,3626,0.04715940430226145
41,1,68,1401,0.04853675945753034
42,1,83,1401,0.05924339757316203
43,1,57,1626,0.03505535055350553
44,1,66,1446,0.04564315352697095
45,0,61,1401,0.04354032833690221
46,0,67,1401,0.04782298358315489
47,1,63,1413,0.044585987261146494
48,1,70,1401,0.049964311206281226
49,1,66,1802,0.03662597114317425
50,1,59,1401,0.042112776588151324
51,1,69,1401,0.04925053533190578
52,1,205,4251,0.048223947306516114
53,1,76,1506,0.05046480743691899
54,1,76,1401,0.05424696645253391
55,1,64,1401,0.04568165596002855
56,1,65,1423,0.04567814476458187
57,0,58,1401,0.04139900071377588
58,1,66,1401,0.047109207708779445
59,1,82,1748,0.04691075514874142
60,1,55,1498,0.036715620827770364
61,1,58,1434,0.040446304044630406
62,1,80,1401,0.05710206995003569
63,1,75,1401,0.05353319057815846
64,1,82,1552,0.05283505154639175
65,0,76,1518,0.05006587615283267
66,1,72,1401,0.05139186295503212
67,1,63,1438,0.04381084840055633
68,1,75,1402,0.05349500713266762
69,0,61,1401,0.04354032833690221
70,0,59,1673,0.035265989240884636
71,1,74,1401,0.05281941470378301
72,1,70,1484,0.04716981132075472
73,1,72,1406,0.051209103840682786
74,1,57,1402,0.04065620542082739
75,1,105,2458,0.04271765663140765
76,1,984,21627,0.04549868220280205
77,0,56,1402,0.039942938659058486
78,0,80,1723,0.046430644225188625
79,1,67,1401,0.04782298358315489
80,1,73,1538,0.04746423927178153
81,0,78,1740,0.04482758620689655
82,1,84,1401,0.059957173447537475
83,1,70,1401,0.049964311206281226
84,1,58,1401,0.04139900071377588
85,1,62,1401,0.04425410421127766
86,1,80,1401,0.05710206995003569
87,1,83,2014,0.041211519364448855
88,1,69,1416,0.048728813559322036
89,1,65,1442,0.04507628294036061
90,1,167,3533,0.04726861024624965
91,0,74,1401,0.05281941470378301
92,1,126,2812,0.04480796586059744
93,1,63,1401,0.044967880085653104
94,1,79,1401,0.05638829407566024
95,1,164,3312,0.049516908212560384
96,1,70,1401,0.049964311206281226
97,1,67,1401,0.04782298358315489
98,1,60,1401,0.042826552462526764
99,1,61,1401,0.04354032833690221
