n_arms,true_winner_idx,winner_idx,true_winner_ctr,winner_ctr,traffic,wins,baseline,conversion
10.0,8.0,8.0,0.30196048137090364,0.30196048137090364,3276.0,893.0,0.2037802964281925,0.27258852258852256
10.0,9.0,9.0,0.26789921483247875,0.26789921483247875,9122.0,2251.0,0.1814752890134461,0.24676606007454505
10.0,0.0,0.0,0.31021978201252587,0.31021978201252587,2329.0,618.0,0.19547062814911303,0.26534993559467585
10.0,4.0,4.0,0.27712359303256767,0.27712359303256767,6560.0,1715.0,0.17593440801548868,0.2614329268292683
20.0,0.0,0.0,0.26921653540339396,0.26921653540339396,100000.0,26447.0,0.19604692094994003,0.26447
20.0,19.0,19.0,0.2825848586165816,0.2825848586165816,15592.0,4046.0,0.20828746793722078,0.2594920472036942
20.0,9.0,8.0,0.2658976785003769,0.18258472432827969,100000.0,25882.0,0.20420234231683007,0.25882
20.0,13.0,13.0,0.2887730804235054,0.2887730804235054,15390.0,4231.0,0.22790875600650481,0.27491877842755036
30.0,17.0,17.0,0.30575809045046004,0.30575809045046004,4247.0,1092.0,0.19532066963281586,0.25712267482929124
30.0,2.0,2.0,0.31764419216938794,0.31764419216938794,6020.0,1457.0,0.20311142248414712,0.2420265780730897
30.0,25.0,25.0,0.292770923546847,0.292770923546847,14376.0,3626.0,0.19985445035405794,0.2522259321090707
30.0,26.0,3.0,0.28321181806304824,0.2693373964395809,84451.0,22968.0,0.19907591437426264,0.27196836035097277
40.0,4.0,4.0,0.3046480519239042,0.3046480519239042,100000.0,29367.0,0.21145026935286088,0.29367
40.0,33.0,33.0,0.3056947524882451,0.3056947524882451,10640.0,2574.0,0.1979951502992186,0.2419172932330827
40.0,20.0,20.0,0.3115372378280593,0.3115372378280593,6165.0,1461.0,0.19722944495258227,0.23698296836982968
40.0,26.0,26.0,0.2843711385641333,0.2843711385641333,34972.0,9128.0,0.19086384346481186,0.2610088070456365
50.0,39.0,39.0,0.33219436085092835,0.33219436085092835,10119.0,2675.0,0.20049151841138163,0.2643541851961656
50.0,44.0,44.0,0.30804291539193035,0.30804291539193035,33813.0,9078.0,0.20928905061574438,0.2684766214177979
50.0,22.0,22.0,0.28994510971854076,0.28994510971854076,22993.0,5744.0,0.20277367778876754,0.24981516113599792
50.0,24.0,1.0,0.28213687140206795,0.2684882289790249,17624.0,4352.0,0.19076108956569474,0.2469359963685883
60.0,50.0,29.0,0.28865599298150535,0.27335229159392704,52802.0,13978.0,0.19323662162644,0.26472482102950645
60.0,47.0,47.0,0.3429383682005738,0.3429383682005738,10520.0,2916.0,0.20873078060147143,0.27718631178707226
60.0,29.0,29.0,0.2611596448984864,0.2611596448984864,52881.0,12395.0,0.18895585746057567,0.23439420585843687
60.0,20.0,20.0,0.33504961131890765,0.33504961131890765,11965.0,3259.0,0.19096216532095545,0.27237776849143336
70.0,50.0,37.0,0.309489596736744,0.2901760163354441,36065.0,9742.0,0.2067568417822374,0.27012338832663246
70.0,3.0,3.0,0.31415456052795987,0.31415456052795987,100000.0,29656.0,0.21136607618656517,0.29656
70.0,20.0,20.0,0.2898890147490809,0.2898890147490809,100000.0,27406.0,0.19150198724795003,0.27406
70.0,5.0,17.0,0.3438113624979331,0.3215039719166513,30390.0,9248.0,0.20000655619251087,0.3043106284962159
80.0,55.0,55.0,0.3618021966243913,0.3618021966243913,17672.0,5340.0,0.19580633545678194,0.30217292892711634
80.0,52.0,52.0,0.34847098447531555,0.34847098447531555,15752.0,4250.0,0.19810948478302917,0.2698070086338243
80.0,49.0,49.0,0.3373909983906285,0.3373909983906285,13920.0,3583.0,0.207643736901045,0.2573994252873563
80.0,18.0,18.0,0.32594438076632304,0.32594438076632304,12500.0,3093.0,0.19237236564174345,0.24744
90.0,26.0,77.0,0.30455270435017145,0.2820599946932353,52191.0,14175.0,0.20507938528822425,0.27159855147439216
90.0,29.0,29.0,0.3422202976644555,0.3422202976644555,55390.0,16772.0,0.20032415543046017,0.3027983390503701
90.0,7.0,7.0,0.29381182942471135,0.29381182942471135,100000.0,27115.0,0.20475958408461703,0.27115
90.0,52.0,52.0,0.32872546361549126,0.32872546361549126,17605.0,4324.0,0.1962218350006147,0.2456120420335132
100.0,48.0,99.0,0.30601566130522206,0.27830077713802037,65690.0,17010.0,0.20126002123751494,0.25894352260618053
100.0,87.0,87.0,0.3308152416002542,0.3308152416002542,100000.0,30636.0,0.20364276115190474,0.30636
100.0,70.0,57.0,0.3189737696054302,0.3105618849013435,100000.0,29348.0,0.20192148786750178,0.29348
100.0,66.0,66.0,0.34459546200569624,0.34459546200569624,44316.0,13587.0,0.19618128129795445,0.30659355537503385
