n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
4.0,3.0,3.0,1002.0,313.0,0.21509135314954406,0.312375249500998
4.0,0.0,2.0,2850.0,597.0,0.20411904797711655,0.2094736842105263
4.0,0.0,0.0,2296.0,562.0,0.2015394348789048,0.24477351916376305
4.0,3.0,3.0,1249.0,292.0,0.18994649059133137,0.23378702962369896
4.0,3.0,3.0,5462.0,1494.0,0.24109203983567035,0.2735261808861223
4.0,0.0,0.0,1079.0,255.0,0.19875181349146304,0.23632993512511585
4.0,1.0,2.0,1011.0,258.0,0.22222703672684718,0.2551928783382789
4.0,0.0,0.0,1002.0,218.0,0.17519907008692154,0.21756487025948104
4.0,3.0,3.0,2547.0,712.0,0.22683336836848705,0.2795445622300746
4.0,0.0,0.0,2848.0,780.0,0.20890611528000572,0.273876404494382
4.0,3.0,3.0,100000.0,21354.0,0.18712611875096247,0.21354
4.0,3.0,3.0,4529.0,1114.0,0.21566325969084618,0.24597041289467875
4.0,3.0,3.0,2054.0,467.0,0.20238656676055716,0.22736124634858812
6.0,5.0,5.0,1250.0,290.0,0.16871877543353356,0.232
6.0,1.0,1.0,100000.0,25344.0,0.2188651816189364,0.25344
6.0,3.0,3.0,3832.0,899.0,0.14909388131844456,0.2346033402922756
6.0,2.0,2.0,1002.0,298.0,0.21513894686575866,0.29740518962075846
6.0,0.0,1.0,14471.0,3439.0,0.19860312634234678,0.2376477092115265
6.0,2.0,2.0,4358.0,1087.0,0.20456516875957365,0.24942634235888023
6.0,0.0,1.0,48138.0,13251.0,0.22222205418353635,0.27527109560014956
6.0,1.0,1.0,1839.0,536.0,0.24368959662679276,0.2914627514953779
6.0,4.0,4.0,1710.0,442.0,0.22673567135594097,0.2584795321637427
6.0,2.0,2.0,1397.0,282.0,0.1764786623131972,0.20186113099498926
6.0,3.0,3.0,6780.0,1924.0,0.227929294602409,0.2837758112094395
6.0,3.0,3.0,1002.0,312.0,0.1972618975290891,0.31137724550898205
6.0,4.0,4.0,50979.0,12855.0,0.19980666233446773,0.2521626552109692
6.0,5.0,5.0,1680.0,494.0,0.17531641017515623,0.29404761904761906
6.0,3.0,3.0,2898.0,658.0,0.18941587697818837,0.22705314009661837
6.0,3.0,3.0,6900.0,1808.0,0.2206493564773695,0.2620289855072464
6.0,3.0,3.0,1512.0,424.0,0.21554897539943194,0.2804232804232804
6.0,0.0,3.0,1225.0,363.0,0.18850380022914334,0.2963265306122449
6.0,5.0,5.0,8446.0,1839.0,0.18329851069813122,0.2177362064882785
6.0,4.0,4.0,1378.0,324.0,0.19845886177290797,0.2351233671988389
6.0,1.0,1.0,95161.0,24851.0,0.20857386387277302,0.26114689841426636
6.0,1.0,1.0,1518.0,306.0,0.17240188722601188,0.2015810276679842
6.0,2.0,2.0,1397.0,367.0,0.20334197187807457,0.262705798138869
6.0,4.0,4.0,5502.0,1227.0,0.21398472505014499,0.22300981461286803
6.0,5.0,5.0,2843.0,736.0,0.24038752922487694,0.2588814632430531
6.0,4.0,4.0,4563.0,1071.0,0.18534153975647824,0.23471400394477318
