n_arms,true_winner_idx,winner_idx,true_winner_ctr,winner_ctr,traffic,wins,baseline,conversion
10.0,8.0,8.0,0.30196048137090364,0.30196048137090364,10802.0,2544.0,0.2037802964281925,0.23551194223291982
10.0,9.0,9.0,0.26789921483247875,0.26789921483247875,1031.0,245.0,0.1814752890134461,0.2376333656644035
10.0,0.0,0.0,0.31021978201252587,0.31021978201252587,1137.0,287.0,0.19547062814911303,0.25241864555848725
10.0,4.0,4.0,0.27712359303256767,0.27712359303256767,12313.0,3068.0,0.17593440801548868,0.2491675464955738
20.0,0.0,0.0,0.26921653540339396,0.26921653540339396,100020.0,25243.0,0.19604692094994003,0.25237952409518094
20.0,19.0,19.0,0.2825848586165816,0.2825848586165816,13046.0,3176.0,0.20828746793722078,0.24344626705503603
20.0,9.0,9.0,0.2658976785003769,0.2658976785003769,100020.0,25405.0,0.20420234231683007,0.253999200159968
20.0,13.0,1.0,0.2887730804235054,0.26838787869681235,4485.0,1178.0,0.22790875600650481,0.26265328874024524
30.0,17.0,17.0,0.30575809045046004,0.30575809045046004,4873.0,1059.0,0.19532066963281586,0.21731992612353787
30.0,2.0,2.0,0.31764419216938794,0.31764419216938794,3377.0,784.0,0.20311142248414712,0.2321587207580693
30.0,25.0,25.0,0.292770923546847,0.292770923546847,17614.0,4455.0,0.19985445035405794,0.2529238106052004
30.0,26.0,23.0,0.28321181806304824,0.25157827286059886,2620.0,613.0,0.19907591437426264,0.23396946564885496
40.0,4.0,17.0,0.3046480519239042,0.30344650662943984,1849.0,467.0,0.21145026935286088,0.2525689561925365
40.0,33.0,33.0,0.3056947524882451,0.3056947524882451,2119.0,438.0,0.1979951502992186,0.20670127418593676
40.0,20.0,35.0,0.3115372378280593,0.29622087691513865,100040.0,27550.0,0.19722944495258227,0.27538984406237504
40.0,26.0,19.0,0.2843711385641333,0.2838957080731305,100040.0,26594.0,0.19086384346481186,0.26583366653338664
50.0,39.0,39.0,0.33219436085092835,0.33219436085092835,3684.0,1043.0,0.20049151841138163,0.28311617806731815
50.0,44.0,44.0,0.30804291539193035,0.30804291539193035,5135.0,1299.0,0.20928905061574438,0.25296981499513144
50.0,22.0,28.0,0.28994510971854076,0.28180561336672005,100050.0,26441.0,0.20277367778876754,0.26427786106946527
50.0,24.0,1.0,0.28213687140206795,0.2684882289790249,16842.0,3986.0,0.19076108956569474,0.23667022918893243
60.0,50.0,50.0,0.28865599298150535,0.28865599298150535,100060.0,26915.0,0.19323662162644,0.2689886068358985
60.0,47.0,9.0,0.3429383682005738,0.24779330879032732,1336.0,275.0,0.20873078060147143,0.2058383233532934
60.0,29.0,40.0,0.2611596448984864,0.2489276676357398,34053.0,7964.0,0.18895585746057567,0.2338707309194491
60.0,20.0,38.0,0.33504961131890765,0.29394266135660807,1672.0,377.0,0.19096216532095545,0.22547846889952153
70.0,50.0,48.0,0.309489596736744,0.24821649484036867,1885.0,438.0,0.2067568417822374,0.2323607427055703
70.0,3.0,22.0,0.31415456052795987,0.2326823475941221,1429.0,361.0,0.21136607618656517,0.25262421273617913
70.0,20.0,35.0,0.2898890147490809,0.2682546971050483,1165.0,260.0,0.19150198724795003,0.22317596566523606
70.0,5.0,17.0,0.3438113624979331,0.3215039719166513,2845.0,686.0,0.20000655619251087,0.24112478031634446
80.0,55.0,54.0,0.3618021966243913,0.229032219225856,1262.0,269.0,0.19580633545678194,0.21315372424722662
80.0,52.0,52.0,0.34847098447531555,0.34847098447531555,15801.0,4292.0,0.19810948478302917,0.2716283779507626
80.0,49.0,49.0,0.3373909983906285,0.3373909983906285,4190.0,1000.0,0.207643736901045,0.2386634844868735
80.0,18.0,2.0,0.32594438076632304,0.30927221589127524,4009.0,1086.0,0.19237236564174345,0.27089049638313795
90.0,26.0,26.0,0.30455270435017145,0.30455270435017145,1304.0,296.0,0.20507938528822425,0.22699386503067484
90.0,29.0,79.0,0.3422202976644555,0.24677865456517858,1273.0,264.0,0.20032415543046017,0.20738413197172034
90.0,7.0,81.0,0.29381182942471135,0.2089979525348733,3713.0,806.0,0.20475958408461703,0.21707514139509831
90.0,52.0,25.0,0.32872546361549126,0.21139472634466655,2085.0,487.0,0.1962218350006147,0.23357314148681055
100.0,48.0,31.0,0.30601566130522206,0.24806783464274948,1222.0,237.0,0.20126002123751494,0.1939443535188216
100.0,87.0,18.0,0.3308152416002542,0.32401648295397184,100100.0,29861.0,0.20364276115190474,0.2983116883116883
100.0,70.0,51.0,0.3189737696054302,0.12202900578882916,1217.0,291.0,0.20192148786750178,0.2391125718981101
100.0,66.0,66.0,0.34459546200569624,0.34459546200569624,100100.0,31537.0,0.19618128129795445,0.3150549450549451
110.0,108.0,39.0,0.3598906076007904,0.28021814596754613,2020.0,464.0,0.20633118615853407,0.2297029702970297
110.0,25.0,82.0,0.3388976901415568,0.31654634515057545,22509.0,6339.0,0.19933962419968773,0.2816206850593096
110.0,8.0,8.0,0.3273635991628072,0.3273635991628072,100110.0,29819.0,0.19235894177040996,0.2978623514134452
110.0,30.0,30.0,0.33564710666639397,0.33564710666639397,100110.0,30628.0,0.20608461517047164,0.30594346219158924
120.0,116.0,116.0,0.3491946902489387,0.3491946902489387,2947.0,721.0,0.19899091600223562,0.24465558194774348
120.0,100.0,100.0,0.3513027330977876,0.3513027330977876,1626.0,389.0,0.20098263659444443,0.23923739237392375
120.0,112.0,112.0,0.3401833856229455,0.3401833856229455,1973.0,525.0,0.20041734192518376,0.26609224531170805
120.0,27.0,26.0,0.31528824265953226,0.21436748788618917,1460.0,373.0,0.1893387897469267,0.2554794520547945
130.0,118.0,118.0,0.3398398667950307,0.3398398667950307,100130.0,31171.0,0.20513872778912276,0.31130530310596227
130.0,78.0,125.0,0.36143117177884876,0.33781731750659244,100130.0,32987.0,0.2061376194765789,0.32944172575651653
130.0,35.0,35.0,0.34233562948487317,0.34233562948487317,65271.0,18964.0,0.20718411827947403,0.2905425073922569
130.0,60.0,4.0,0.31258319016938646,0.16848187606827492,1746.0,379.0,0.1923780063453516,0.2170675830469645
140.0,90.0,19.0,0.37550467846796387,0.24797440506709928,2466.0,553.0,0.20358800770104127,0.22424979724249797
140.0,49.0,138.0,0.31886368667941123,0.1975802992411481,1208.0,273.0,0.20096761673504046,0.2259933774834437
140.0,41.0,138.0,0.35774197739156843,0.23996158728307834,1218.0,225.0,0.18875352302861265,0.18472906403940886
140.0,72.0,86.0,0.32162030782459794,0.30122242336712834,100140.0,28051.0,0.2068573560120799,0.28011783503095666
150.0,65.0,145.0,0.3361061526912277,0.2963840483504349,11447.0,3062.0,0.20523689675995965,0.2674936664628287
150.0,53.0,53.0,0.3389063029649908,0.3389063029649908,100150.0,30860.0,0.20368488067004772,0.30813779331003494
150.0,50.0,127.0,0.33476952915254865,0.275389183754019,13803.0,3622.0,0.20165136469315717,0.2624067231761211
150.0,84.0,128.0,0.3192600355227316,0.26338411844134535,3129.0,799.0,0.20369125960266038,0.25535314797059766
160.0,48.0,26.0,0.3625338306036483,0.3431086518320634,22477.0,7107.0,0.20221501163646555,0.3161898829915024
160.0,70.0,81.0,0.30493712582811705,0.24218834016496185,4260.0,965.0,0.19899562697212567,0.22652582159624413
160.0,58.0,48.0,0.3307104879107731,0.24447176103031254,2689.0,671.0,0.1962350620838169,0.24953514317590184
160.0,151.0,55.0,0.3302473763075662,0.3162010335245413,36227.0,9747.0,0.1959091153346141,0.26905346840754135
170.0,35.0,35.0,0.337627773257555,0.337627773257555,6907.0,1812.0,0.2026269827983484,0.2623425510351817
170.0,160.0,105.0,0.3044202059556199,0.22142369578231683,5014.0,1304.0,0.19338442219470625,0.2600717989629039
170.0,112.0,127.0,0.32553093510832865,0.20249330120402415,1482.0,385.0,0.1965813023528212,0.25978407557354927
170.0,159.0,138.0,0.31418107924216804,0.2754497945781309,12604.0,3545.0,0.19892904756428095,0.28125991748651225
180.0,169.0,169.0,0.35151232962879747,0.35151232962879747,54831.0,17251.0,0.19809240563047775,0.3146212908755996
180.0,89.0,89.0,0.3351034264206877,0.3351034264206877,8129.0,2345.0,0.19973716698706692,0.2884733669578054
180.0,146.0,76.0,0.31682412559915973,0.29033885744178334,3808.0,966.0,0.20626371198695131,0.2536764705882353
180.0,25.0,50.0,0.3129447137619063,0.3077206562365361,60103.0,16194.0,0.19665785442809106,0.2694374656839093
190.0,112.0,49.0,0.32106539057258787,0.22225743854705574,1317.0,243.0,0.20289361245092705,0.1845102505694761
190.0,135.0,162.0,0.3181653175810559,0.18198295190286182,1927.0,442.0,0.19752612236900954,0.2293720809548521
190.0,171.0,171.0,0.3206865243111717,0.3206865243111717,2868.0,643.0,0.20817688348636737,0.22419804741980473
190.0,33.0,50.0,0.3398295227472889,0.20838140158684004,1838.0,474.0,0.19101576564260692,0.2578890097932535
200.0,77.0,77.0,0.3380425918235025,0.3380425918235025,100200.0,30689.0,0.19744880126687356,0.30627744510978044
200.0,110.0,115.0,0.32507962986955286,0.3030522006529418,1656.0,364.0,0.19892195643378696,0.21980676328502416
200.0,63.0,65.0,0.3346710437537017,0.31200398367798327,12223.0,3389.0,0.19973528177431318,0.27726417409801196
200.0,173.0,185.0,0.3344413842795298,0.325908384463783,100200.0,29929.0,0.19663960034008426,0.2986926147704591
