,winner_idx,wins,traffic,conversion
0,0,102,2490,0.04096385542168675
1,1,75,1401,0.05353319057815846
2,1,80,1401,0.05710206995003569
3,0,68,1401,0.04853675945753034
4,1,82,1401,0.05852962169878658
5,1,74,1471,0.05030591434398368
6,1,178,3619,0.04918485769549599
7,1,59,1401,0.042112776588151324
8,1,79,1460,0.05410958904109589
9,1,61,1401,0.04354032833690221
10,1,70,1401,0.049964311206281226
11,1,82,1401,0.05852962169878658
12,1,86,2011,0.04276479363500746
13,1,93,1944,0.047839506172839504
14,1,79,1443,0.05474705474705475
15,1,215,4551,0.047242364315535045
16,1,123,2470,0.04979757085020243
17,0,91,1775,0.05126760563380282
18,0,75,1417,0.0529287226534933
19,1,103,2414,0.04266777133388567
20,1,77,1401,0.054960742326909354
21,1,68,1454,0.04676753782668501
22,1,71,1401,0.05067808708065667
23,1,61,1401,0.04354032833690221
24,1,64,1401,0.04568165596002855
25,1,58,1401,0.04139900071377588
26,1,60,1401,0.042826552462526764
27,1,66,1401,0.047109207708779445
28,1,69,1401,0.04925053533190578
29,1,54,1445,0.03737024221453287
30,0,68,1401,0.04853675945753034
31,1,60,1401,0.042826552462526764
32,1,77,1472,0.052309782608695655
33,1,67,1466,0.045702592087312414
34,0,70,1717,0.040768782760629
35,1,106,2202,0.048138056312443236
36,1,62,1401,0.04425410421127766
37,1,77,1401,0.054960742326909354
38,1,159,3220,0.04937888198757764
39,1,90,1859,0.04841312533620226
40,1,87,1401,0.06209850107066381
41,0,92,1757,0.05236198064883324
42,1,57,1401,0.04068522483940043
43,1,69,1401,0.04925053533190578
44,1,68,1721,0.039511911679256245
45,1,77,1505,0.05116279069767442
46,0,58,1405,0.04128113879003559
47,1,49,1401,0.03497501784439686
48,1,138,3202,0.043098063710181135
49,1,63,1401,0.044967880085653104
50,0,58,1401,0.04139900071377588
51,1,64,1401,0.04568165596002855
52,1,102,2501,0.04078368652538984
53,1,69,1401,0.04925053533190578
54,1,73,1401,0.052105638829407566
55,1,59,1401,0.042112776588151324
56,1,81,1401,0.057815845824411134
57,0,57,1412,0.04036827195467422
58,1,70,1401,0.049964311206281226
59,1,150,3631,0.04131093362709997
60,1,66,1401,0.047109207708779445
61,0,65,1401,0.046395431834404
62,1,66,1401,0.047109207708779445
63,1,67,1401,0.04782298358315489
64,1,69,1401,0.04925053533190578
65,1,67,1401,0.04782298358315489
66,1,439,9936,0.04418276972624799
67,0,76,1677,0.04531902206320811
68,0,56,1401,0.03997144896502498
69,1,96,2092,0.045889101338432124
70,0,99,2117,0.04676428908833254
71,1,65,1401,0.046395431834404
72,1,60,1401,0.042826552462526764
73,1,74,1623,0.04559457794208256
74,1,57,1402,0.04065620542082739
75,1,58,1401,0.04139900071377588
76,1,82,1401,0.05852962169878658
77,1,78,1735,0.044956772334293946
78,1,76,1401,0.05424696645253391
79,1,54,1401,0.03854389721627409
80,1,154,3522,0.043725156161272004
81,1,61,1401,0.04354032833690221
82,0,61,1401,0.04354032833690221
83,1,79,1414,0.05586987270155587
84,0,113,2368,0.04771959459459459
85,1,60,1401,0.042826552462526764
86,1,68,1535,0.04429967426710098
87,1,76,1401,0.05424696645253391
88,1,70,1750,0.04
89,1,63,1401,0.044967880085653104
90,1,173,3419,0.050599590523544895
91,1,67,1401,0.04782298358315489
92,0,71,1401,0.05067808708065667
93,0,55,1594,0.03450439146800502
94,0,79,1836,0.04302832244008715
95,1,88,1406,0.06258890469416785
96,1,63,1407,0.04477611940298507
97,1,66,1404,0.04700854700854701
98,1,59,1401,0.042112776588151324
99,1,69,1401,0.04925053533190578
