n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
6.0,3.0,3.0,3409.0,883.0,0.227929294602409,0.2590202405397477
6.0,3.0,3.0,2967.0,925.0,0.1972618975290891,0.31176272328951804
6.0,4.0,0.0,100006.0,24167.0,0.19980666233446773,0.2416555006699598
6.0,5.0,5.0,1007.0,281.0,0.17531641017515623,0.27904667328699106
6.0,3.0,3.0,14921.0,3322.0,0.18941587697818837,0.22263923329535554
6.0,3.0,3.0,9711.0,2588.0,0.2206493564773695,0.2665019050561219
6.0,3.0,3.0,14297.0,3934.0,0.21554897539943194,0.27516262152899207
6.0,0.0,0.0,1581.0,479.0,0.18850380022914334,0.3029728020240354
6.0,5.0,5.0,14780.0,3103.0,0.18329851069813122,0.20994587280108254
6.0,4.0,4.0,28064.0,6981.0,0.19845886177290797,0.24875285062713798
6.0,1.0,1.0,12448.0,3023.0,0.20857386387277302,0.24285025706940874
6.0,1.0,4.0,9212.0,1933.0,0.17240188722601188,0.2098349978289188
6.0,2.0,2.0,1512.0,395.0,0.20334197187807457,0.2612433862433862
6.0,4.0,4.0,21509.0,4717.0,0.21398472505014499,0.21930354735227114
6.0,5.0,5.0,10188.0,2905.0,0.24038752922487694,0.28513937966234787
6.0,4.0,4.0,2599.0,517.0,0.18534153975647824,0.19892266256252406
6.0,3.0,3.0,10257.0,1961.0,0.17388916001016821,0.19118650677586038
6.0,0.0,0.0,13357.0,3625.0,0.24034845216442677,0.2713932769334431
6.0,3.0,3.0,6675.0,1733.0,0.21858302601946486,0.259625468164794
6.0,4.0,4.0,5661.0,1304.0,0.18545030296963436,0.2303479950538774
6.0,1.0,1.0,5800.0,1719.0,0.24417574532308275,0.29637931034482756
6.0,4.0,2.0,1038.0,203.0,0.17464107038905755,0.1955684007707129
8.0,7.0,7.0,31466.0,7560.0,0.1990968465695766,0.2402593275281256
8.0,6.0,6.0,100008.0,28460.0,0.23697126053049677,0.2845772338212943
8.0,7.0,7.0,4613.0,1140.0,0.21640551978175282,0.2471276826360286
8.0,3.0,3.0,25991.0,6482.0,0.1994768624815389,0.24939402100727176
8.0,3.0,3.0,35683.0,7889.0,0.1930851064582661,0.2210856710478379
8.0,7.0,7.0,1767.0,392.0,0.1835239067456308,0.22184493491794002
8.0,5.0,5.0,2274.0,408.0,0.1934258927396888,0.17941952506596306
8.0,2.0,2.0,69269.0,18179.0,0.21403257579009843,0.26244063000765133
8.0,1.0,1.0,6846.0,1897.0,0.21012147897436229,0.2770961145194274
8.0,3.0,3.0,100008.0,21597.0,0.18336445890571634,0.21595272378209743
8.0,2.0,2.0,23550.0,5473.0,0.20853284877104894,0.23239915074309977
8.0,6.0,6.0,1253.0,293.0,0.20473408732712567,0.2338387869114126
8.0,0.0,0.0,3778.0,1138.0,0.19433197821576195,0.301217575436739
8.0,5.0,5.0,67169.0,18388.0,0.22434798678432422,0.27375723920260836
8.0,1.0,1.0,17734.0,5047.0,0.22161501573686243,0.28459456411413103
8.0,5.0,5.0,30993.0,8936.0,0.2307724430943138,0.2883231697480076
8.0,6.0,6.0,64516.0,15547.0,0.20305114159784693,0.2409789819579639
8.0,0.0,7.0,100008.0,24582.0,0.20964199573224157,0.24580033597312215
8.0,2.0,2.0,1289.0,274.0,0.1843939057870661,0.2125678820791311
8.0,3.0,3.0,60568.0,13321.0,0.1868272959192509,0.21993461894069474
8.0,2.0,0.0,100008.0,22862.0,0.18212051486999326,0.22860171186305095
