,winner_idx,wins,traffic,conversion
0,0,59,1402,0.04208273894436519
1,1,51,1462,0.03488372093023256
2,1,60,1401,0.042826552462526764
3,0,74,1627,0.04548248309772587
4,1,74,1401,0.05281941470378301
5,1,66,1401,0.047109207708779445
6,1,75,1401,0.05353319057815846
7,1,76,1401,0.05424696645253391
8,0,73,1401,0.052105638829407566
9,0,61,1478,0.041271989174560215
10,0,74,1401,0.05281941470378301
11,0,75,1558,0.04813863928112965
12,0,86,1705,0.05043988269794721
13,1,66,1402,0.047075606276747506
14,1,51,1401,0.03640256959314775
15,1,63,1401,0.044967880085653104
16,0,84,1401,0.059957173447537475
17,1,63,1401,0.044967880085653104
18,1,56,1504,0.03723404255319149
19,0,58,1401,0.04139900071377588
20,1,74,1401,0.05281941470378301
21,1,63,1401,0.044967880085653104
22,1,63,1401,0.044967880085653104
23,1,66,1401,0.047109207708779445
24,1,61,1401,0.04354032833690221
25,1,61,1401,0.04354032833690221
26,1,60,1401,0.042826552462526764
27,1,73,1401,0.052105638829407566
28,0,61,1401,0.04354032833690221
29,1,55,1401,0.039257673090649536
30,0,77,1401,0.054960742326909354
31,1,54,1401,0.03854389721627409
32,1,76,1401,0.05424696645253391
33,1,62,1401,0.04425410421127766
34,1,51,1486,0.034320323014804845
35,1,69,1401,0.04925053533190578
36,1,71,1426,0.04978962131837307
37,1,69,1401,0.04925053533190578
38,0,62,1401,0.04425410421127766
39,0,62,1401,0.04425410421127766
40,1,66,1401,0.047109207708779445
41,1,66,1401,0.047109207708779445
42,1,73,1415,0.051590106007067135
43,1,64,1401,0.04568165596002855
44,0,58,1401,0.04139900071377588
45,1,64,1401,0.04568165596002855
46,1,65,1401,0.046395431834404
47,1,69,1401,0.04925053533190578
48,1,68,1401,0.04853675945753034
49,0,59,1401,0.042112776588151324
50,1,65,1401,0.046395431834404
51,1,63,1403,0.04490377761938703
52,1,66,1401,0.047109207708779445
53,0,77,1614,0.04770755885997522
54,1,64,1401,0.04568165596002855
55,0,52,1447,0.0359364201796821
56,1,57,1401,0.04068522483940043
57,0,55,1401,0.039257673090649536
58,1,63,1401,0.044967880085653104
59,1,51,1401,0.03640256959314775
60,0,66,1401,0.047109207708779445
61,1,63,1401,0.044967880085653104
62,0,73,1440,0.050694444444444445
63,1,59,1401,0.042112776588151324
64,1,55,1401,0.039257673090649536
65,1,65,1404,0.046296296296296294
66,0,74,1401,0.05281941470378301
67,0,57,1401,0.04068522483940043
68,1,58,1401,0.04139900071377588
69,1,60,1401,0.042826552462526764
70,0,56,1401,0.03997144896502498
71,1,66,1401,0.047109207708779445
72,1,73,1401,0.052105638829407566
73,1,73,1401,0.052105638829407566
74,1,64,1401,0.04568165596002855
75,1,78,1401,0.055674518201284794
76,1,77,1755,0.043874643874643876
77,1,52,1401,0.037116345467523196
78,0,79,1401,0.05638829407566024
79,1,99,2083,0.04752760441670667
80,0,66,1401,0.047109207708779445
81,1,78,1401,0.055674518201284794
82,0,61,1401,0.04354032833690221
83,1,71,1401,0.05067808708065667
84,0,53,1567,0.03382259093809828
85,0,49,1401,0.03497501784439686
86,1,63,1401,0.044967880085653104
87,1,63,1401,0.044967880085653104
88,0,88,1410,0.062411347517730496
89,1,69,1401,0.04925053533190578
90,0,71,1401,0.05067808708065667
91,0,58,1401,0.04139900071377588
92,0,63,1401,0.044967880085653104
93,1,73,1401,0.052105638829407566
94,0,64,1401,0.04568165596002855
95,1,50,1401,0.03568879371877231
96,0,60,1526,0.039318479685452164
97,1,70,1432,0.04888268156424581
98,1,68,1401,0.04853675945753034
99,1,92,1456,0.06318681318681318
