,winner_idx,wins,traffic,conversion
0,0,92,2199,0.041837198726693954
1,0,75,1439,0.05211952744961779
2,1,74,1401,0.05281941470378301
3,1,82,1809,0.04532891100055279
4,1,69,1401,0.04925053533190578
5,1,88,1790,0.049162011173184354
6,1,88,1840,0.04782608695652174
7,0,70,1419,0.04933051444679352
8,0,78,1776,0.04391891891891892
9,0,59,1401,0.042112776588151324
10,1,53,1413,0.03750884642604388
11,1,78,1401,0.055674518201284794
12,1,92,1971,0.04667681380010147
13,0,67,1403,0.04775481111903065
14,0,56,1401,0.03997144896502498
15,1,97,1440,0.06736111111111111
16,1,58,1401,0.04139900071377588
17,1,57,1401,0.04068522483940043
18,1,70,1401,0.049964311206281226
19,1,74,1548,0.04780361757105943
20,0,49,1401,0.03497501784439686
21,1,145,3536,0.04100678733031674
22,1,70,1401,0.049964311206281226
23,1,63,1401,0.044967880085653104
24,1,68,1401,0.04853675945753034
25,1,65,1401,0.046395431834404
26,1,77,1401,0.054960742326909354
27,1,91,1936,0.04700413223140496
28,0,117,2318,0.05047454702329594
29,1,56,1401,0.03997144896502498
30,1,82,1401,0.05852962169878658
31,1,75,1401,0.05353319057815846
32,1,73,1401,0.052105638829407566
33,1,84,1590,0.052830188679245285
34,1,75,1401,0.05353319057815846
35,1,69,1521,0.045364891518737675
36,1,65,1401,0.046395431834404
37,1,83,1401,0.05924339757316203
38,1,51,1401,0.03640256959314775
39,1,65,1401,0.046395431834404
40,1,153,3106,0.04925949774629749
41,1,55,1401,0.039257673090649536
42,1,67,1574,0.042566709021601014
43,1,65,1401,0.046395431834404
44,1,66,1401,0.047109207708779445
45,1,64,1401,0.04568165596002855
46,1,64,1573,0.040686586141131596
47,1,69,1401,0.04925053533190578
48,1,57,1401,0.04068522483940043
49,0,52,1401,0.037116345467523196
50,0,103,2663,0.03867818250093879
51,1,78,1401,0.055674518201284794
52,1,62,1401,0.04425410421127766
53,1,93,1786,0.052071668533034715
54,1,69,1418,0.04866008462623413
55,1,55,1401,0.039257673090649536
56,1,83,1581,0.05249841872232764
57,0,53,1401,0.03783012134189864
58,1,68,1546,0.04398447606727038
59,1,57,1401,0.04068522483940043
60,0,74,1739,0.0425531914893617
61,0,55,1401,0.039257673090649536
62,1,271,6026,0.04497178891470295
63,1,82,1401,0.05852962169878658
64,0,61,1401,0.04354032833690221
65,1,54,1401,0.03854389721627409
66,1,52,1535,0.033876221498371335
67,1,94,2168,0.043357933579335796
68,0,87,1521,0.05719921104536489
69,0,77,1401,0.054960742326909354
70,1,70,1401,0.049964311206281226
71,0,165,4099,0.04025372041961454
72,1,69,1401,0.04925053533190578
73,0,55,1401,0.039257673090649536
74,0,51,1401,0.03640256959314775
75,1,69,1401,0.04925053533190578
76,1,73,1401,0.052105638829407566
77,1,72,1696,0.04245283018867924
78,0,74,1401,0.05281941470378301
79,1,75,1498,0.050066755674232306
80,1,62,1401,0.04425410421127766
81,1,63,1401,0.044967880085653104
82,1,76,1401,0.05424696645253391
83,1,128,2970,0.0430976430976431
84,1,63,1401,0.044967880085653104
85,1,74,1401,0.05281941470378301
86,0,74,1851,0.039978390059427334
87,1,60,1402,0.042796005706134094
88,1,91,1961,0.046404895461499236
89,1,94,1705,0.05513196480938416
90,1,76,1401,0.05424696645253391
91,0,66,1534,0.04302477183833116
92,0,113,2412,0.046849087893864015
93,1,62,1401,0.04425410421127766
94,1,71,1401,0.05067808708065667
95,0,116,2704,0.042899408284023666
96,1,62,1468,0.04223433242506812
97,0,69,1699,0.04061212477928193
98,1,70,1663,0.04209260372820205
99,1,55,1401,0.039257673090649536
