,winner_idx,wins,traffic,conversion
0,1,84,1401,0.059957173447537475
1,0,95,2125,0.04470588235294118
2,1,75,1401,0.05353319057815846
3,1,66,1401,0.047109207708779445
4,1,67,1401,0.04782298358315489
5,1,66,1610,0.040993788819875775
6,1,72,1401,0.05139186295503212
7,1,67,1401,0.04782298358315489
8,1,64,1401,0.04568165596002855
9,1,66,1750,0.037714285714285714
10,1,67,1401,0.04782298358315489
11,1,77,1401,0.054960742326909354
12,1,65,1401,0.046395431834404
13,0,82,1724,0.04756380510440835
14,1,122,2464,0.049512987012987016
15,1,62,1401,0.04425410421127766
16,1,70,1402,0.04992867332382311
17,1,178,4514,0.03943287549844927
18,1,124,2335,0.05310492505353319
19,0,73,1401,0.052105638829407566
20,1,73,1401,0.052105638829407566
21,1,73,1401,0.052105638829407566
22,1,72,1401,0.05139186295503212
23,1,71,1468,0.048365122615803814
24,1,67,1401,0.04782298358315489
25,0,57,1559,0.036561898652982684
26,0,61,1406,0.04338549075391181
27,1,61,1401,0.04354032833690221
28,1,74,1401,0.05281941470378301
29,0,61,1520,0.04013157894736842
30,1,70,1401,0.049964311206281226
31,1,77,1401,0.054960742326909354
32,0,62,1401,0.04425410421127766
33,1,67,1401,0.04782298358315489
34,1,49,1401,0.03497501784439686
35,1,64,1401,0.04568165596002855
36,1,120,2366,0.0507185122569738
37,1,75,1473,0.05091649694501019
38,0,59,1417,0.04163726182074806
39,1,71,1401,0.05067808708065667
40,1,57,1401,0.04068522483940043
41,1,68,1401,0.04853675945753034
42,1,72,1401,0.05139186295503212
43,0,80,1430,0.055944055944055944
44,0,54,1401,0.03854389721627409
45,1,67,1401,0.04782298358315489
46,1,67,1401,0.04782298358315489
47,0,52,1401,0.037116345467523196
48,1,64,1401,0.04568165596002855
49,1,60,1586,0.03783102143757881
50,1,65,1401,0.046395431834404
51,1,112,2554,0.04385277995301488
52,1,73,1401,0.052105638829407566
53,1,64,1401,0.04568165596002855
54,0,65,1402,0.046362339514978604
55,1,158,3594,0.0439621591541458
56,1,64,1401,0.04568165596002855
57,1,79,1401,0.05638829407566024
58,0,88,1401,0.06281227694503926
59,1,61,1401,0.04354032833690221
60,1,58,1401,0.04139900071377588
61,1,67,1401,0.04782298358315489
62,0,70,1401,0.049964311206281226
63,1,66,1401,0.047109207708779445
64,1,81,1739,0.046578493387004025
65,1,79,1401,0.05638829407566024
66,1,84,1503,0.05588822355289421
67,0,65,1401,0.046395431834404
68,1,76,1401,0.05424696645253391
69,1,57,1401,0.04068522483940043
70,1,68,1401,0.04853675945753034
71,1,61,1483,0.041132838840188805
72,1,62,1401,0.04425410421127766
73,0,55,1401,0.039257673090649536
74,1,82,1401,0.05852962169878658
75,1,73,1401,0.052105638829407566
76,1,76,1498,0.050734312416555405
77,1,68,1401,0.04853675945753034
78,1,181,3682,0.049158066268332426
79,1,76,1401,0.05424696645253391
80,1,82,1401,0.05852962169878658
81,0,49,1401,0.03497501784439686
82,1,60,1401,0.042826552462526764
83,1,80,1401,0.05710206995003569
84,1,75,1401,0.05353319057815846
85,1,70,1401,0.049964311206281226
86,1,68,1401,0.04853675945753034
87,1,70,1401,0.049964311206281226
88,1,69,1401,0.04925053533190578
89,1,74,1401,0.05281941470378301
90,1,80,1401,0.05710206995003569
91,0,70,1401,0.049964311206281226
92,1,71,1401,0.05067808708065667
93,1,102,2003,0.0509236145781328
94,1,73,1401,0.052105638829407566
95,1,99,2162,0.04579093432007401
96,1,69,1401,0.04925053533190578
97,0,68,1401,0.04853675945753034
98,1,72,1401,0.05139186295503212
99,1,62,1401,0.04425410421127766
