,winner_idx,wins,traffic,conversion
0,0,66,1434,0.04602510460251046
1,1,94,2036,0.04616895874263261
2,0,365,7367,0.0495452694448215
3,1,62,1401,0.04425410421127766
4,1,71,1401,0.05067808708065667
5,1,58,1401,0.04139900071377588
6,1,81,1780,0.04550561797752809
7,1,79,1401,0.05638829407566024
8,1,72,1589,0.045311516677155446
9,1,79,1791,0.044109436069235064
10,1,61,1401,0.04354032833690221
11,1,558,12208,0.04570773263433814
12,1,195,3697,0.05274546929943197
13,1,96,1776,0.05405405405405406
14,1,424,9269,0.04574387744093214
15,0,56,1401,0.03997144896502498
16,1,80,1586,0.05044136191677175
17,1,70,1572,0.044529262086514
18,0,95,1904,0.04989495798319328
19,1,70,1425,0.04912280701754386
20,1,85,2007,0.04235176880916791
21,1,102,2489,0.04098031337886701
22,1,56,1401,0.03997144896502498
23,1,63,1402,0.0449358059914408
24,1,104,2253,0.0461606746560142
25,1,87,1795,0.048467966573816156
26,0,84,1643,0.05112598904443092
27,1,104,2114,0.04919583727530748
28,1,129,3051,0.04228121927236971
29,1,738,16653,0.04431633939830661
30,1,70,1401,0.049964311206281226
31,0,62,1401,0.04425410421127766
32,1,141,2586,0.054524361948955914
33,1,62,1471,0.04214819850441876
34,0,75,1510,0.04966887417218543
35,1,73,1401,0.052105638829407566
36,1,68,1401,0.04853675945753034
37,1,106,2276,0.04657293497363796
38,1,62,1401,0.04425410421127766
39,1,60,1401,0.042826552462526764
40,1,78,1401,0.055674518201284794
41,1,88,1980,0.044444444444444446
42,1,229,5585,0.04100268576544315
43,1,72,1401,0.05139186295503212
44,1,221,5318,0.041556976306882286
45,1,67,1401,0.04782298358315489
46,1,58,1418,0.04090267983074753
47,1,112,2518,0.04447974583002383
48,1,160,3781,0.04231684739486908
49,1,68,1401,0.04853675945753034
50,0,60,1401,0.042826552462526764
51,1,72,1761,0.04088586030664395
52,0,76,1401,0.05424696645253391
53,0,61,1401,0.04354032833690221
54,1,135,2481,0.05441354292623942
55,1,108,2228,0.04847396768402154
56,1,77,1401,0.054960742326909354
57,0,89,1807,0.04925290536801328
58,1,50,1404,0.03561253561253561
59,1,72,1401,0.05139186295503212
60,1,187,3922,0.04767975522692504
61,0,64,1411,0.04535790219702339
62,1,124,2951,0.042019654354456114
63,1,71,1401,0.05067808708065667
64,1,78,1514,0.05151915455746367
65,1,86,1575,0.054603174603174605
66,1,69,1594,0.04328732747804266
67,1,191,3978,0.048014077425842135
68,0,53,1401,0.03783012134189864
69,1,86,1761,0.0488358886996025
70,0,114,2694,0.042316258351893093
71,1,376,7283,0.05162707675408486
72,1,213,4571,0.04659811857361627
73,1,80,1401,0.05710206995003569
74,1,103,1401,0.07351891506067094
75,1,155,3550,0.04366197183098591
76,0,74,1626,0.04551045510455105
77,1,269,5643,0.04766967924862662
78,1,109,2328,0.0468213058419244
79,1,218,4912,0.044381107491856676
80,1,278,6180,0.04498381877022654
81,1,294,6581,0.044674061692751864
82,1,70,1401,0.049964311206281226
83,1,264,5165,0.05111326234269119
84,1,194,4164,0.046589817483189244
85,0,62,1401,0.04425410421127766
86,1,371,8320,0.044591346153846155
87,1,69,1401,0.04925053533190578
88,1,76,1701,0.04467960023515579
89,1,69,1715,0.0402332361516035
90,1,68,1402,0.04850213980028531
91,1,71,1403,0.05060584461867427
92,1,64,1401,0.04568165596002855
93,0,65,1401,0.046395431834404
94,0,75,1510,0.04966887417218543
95,1,342,6995,0.04889206576125804
96,1,450,9928,0.04532634971796938
97,1,163,3441,0.04736995059575705
98,1,49,1401,0.03497501784439686
99,0,81,1452,0.05578512396694215
