,winner_idx,wins,traffic,conversion
0,1,85,1401,0.06067094932191292
1,1,114,2579,0.04420317952694843
2,1,72,1401,0.05139186295503212
3,1,66,1401,0.047109207708779445
4,1,69,1401,0.04925053533190578
5,1,59,1401,0.042112776588151324
6,0,63,1473,0.04276985743380855
7,1,83,1507,0.055076310550763105
8,1,56,1401,0.03997144896502498
9,1,77,1401,0.054960742326909354
10,0,76,1529,0.04970568999345978
11,0,71,1592,0.04459798994974874
12,1,136,3295,0.04127465857359636
13,1,85,2139,0.039738195418419824
14,1,66,1410,0.04680851063829787
15,0,63,1694,0.0371900826446281
16,1,74,1401,0.05281941470378301
17,1,78,1401,0.055674518201284794
18,1,72,1401,0.05139186295503212
19,1,63,1401,0.044967880085653104
20,1,187,4227,0.04423941329548143
21,1,58,1401,0.04139900071377588
22,0,84,1624,0.05172413793103448
23,0,70,1465,0.04778156996587031
24,0,64,1401,0.04568165596002855
25,1,78,1584,0.04924242424242424
26,1,58,1401,0.04139900071377588
27,1,68,1424,0.047752808988764044
28,1,68,1401,0.04853675945753034
29,1,68,1401,0.04853675945753034
30,1,74,1401,0.05281941470378301
31,1,65,1401,0.046395431834404
32,1,70,1401,0.049964311206281226
33,1,57,1401,0.04068522483940043
34,1,75,1401,0.05353319057815846
35,1,326,7314,0.04457205359584359
36,1,51,1405,0.036298932384341634
37,1,79,1401,0.05638829407566024
38,1,69,1644,0.041970802919708027
39,1,62,1413,0.043878273177636234
40,1,78,1808,0.04314159292035398
41,0,50,1401,0.03568879371877231
42,1,68,1401,0.04853675945753034
43,1,80,1401,0.05710206995003569
44,1,87,2033,0.04279390063944909
45,0,373,8112,0.04598126232741617
46,1,92,1944,0.047325102880658436
47,0,62,1401,0.04425410421127766
48,1,56,1401,0.03997144896502498
49,1,58,1401,0.04139900071377588
50,0,66,1401,0.047109207708779445
51,1,76,1783,0.04262478968031408
52,0,62,1401,0.04425410421127766
53,1,62,1401,0.04425410421127766
54,1,73,1401,0.052105638829407566
55,0,53,1401,0.03783012134189864
56,1,93,1609,0.057799875699192045
57,1,60,1401,0.042826552462526764
58,0,122,2636,0.04628224582701062
59,0,60,1402,0.042796005706134094
60,1,57,1401,0.04068522483940043
61,1,65,1401,0.046395431834404
62,1,66,1401,0.047109207708779445
63,1,70,1401,0.049964311206281226
64,1,64,1401,0.04568165596002855
65,1,49,1401,0.03497501784439686
66,1,49,1434,0.03417015341701534
67,1,70,1401,0.049964311206281226
68,1,54,1401,0.03854389721627409
69,1,71,1401,0.05067808708065667
70,1,66,1401,0.047109207708779445
71,1,79,1512,0.052248677248677246
72,1,61,1401,0.04354032833690221
73,1,69,1401,0.04925053533190578
74,1,71,1401,0.05067808708065667
75,1,58,1401,0.04139900071377588
76,1,72,1516,0.047493403693931395
77,1,61,1401,0.04354032833690221
78,1,66,1723,0.038305281485780614
79,1,51,1401,0.03640256959314775
80,1,70,1402,0.04992867332382311
81,0,183,4506,0.04061251664447404
82,1,52,1401,0.037116345467523196
83,1,71,1421,0.04996481351161154
84,1,65,1401,0.046395431834404
85,1,120,2316,0.05181347150259067
86,1,60,1401,0.042826552462526764
87,1,64,1401,0.04568165596002855
88,1,70,1544,0.04533678756476684
89,1,68,1401,0.04853675945753034
90,1,55,1401,0.039257673090649536
91,1,77,1401,0.054960742326909354
92,1,71,1415,0.05017667844522968
93,0,74,1401,0.05281941470378301
94,1,67,1735,0.03861671469740634
95,1,66,1401,0.047109207708779445
96,1,68,1401,0.04853675945753034
97,1,71,1401,0.05067808708065667
98,1,74,1401,0.05281941470378301
99,1,221,4352,0.05078125
