,winner_idx,wins,traffic,conversion
0,1,55,1494,0.03681392235609103
1,0,77,1408,0.0546875
2,1,65,1401,0.046395431834404
3,1,85,2489,0.034150261149055845
4,1,73,1526,0.04783748361730013
5,0,59,1412,0.04178470254957507
6,1,216,4638,0.04657179818887452
7,1,77,1401,0.054960742326909354
8,1,76,1401,0.05424696645253391
9,1,48,1401,0.034261241970021415
10,1,67,1401,0.04782298358315489
11,1,68,1401,0.04853675945753034
12,0,60,1401,0.042826552462526764
13,1,73,1530,0.04771241830065359
14,1,65,1614,0.040272614622057
15,1,59,1401,0.042112776588151324
16,0,60,1401,0.042826552462526764
17,1,60,1401,0.042826552462526764
18,1,57,1402,0.04065620542082739
19,1,58,1405,0.04128113879003559
20,0,77,1401,0.054960742326909354
21,1,80,1632,0.049019607843137254
22,1,64,1401,0.04568165596002855
23,0,56,1401,0.03997144896502498
24,1,69,1599,0.043151969981238276
25,0,82,1591,0.051539912005028284
26,0,70,1401,0.049964311206281226
27,1,67,1488,0.04502688172043011
28,1,130,2802,0.046395431834404
29,1,89,2133,0.04172526957337084
30,1,60,1401,0.042826552462526764
31,0,362,8130,0.044526445264452645
32,1,70,1401,0.049964311206281226
33,1,61,1401,0.04354032833690221
34,1,72,1411,0.05102763997165131
35,0,56,1401,0.03997144896502498
36,0,69,1401,0.04925053533190578
37,1,65,1401,0.046395431834404
38,1,69,1401,0.04925053533190578
39,0,73,1514,0.04821664464993395
40,1,64,1401,0.04568165596002855
41,1,60,1401,0.042826552462526764
42,0,67,1401,0.04782298358315489
43,1,75,1401,0.05353319057815846
44,1,69,1401,0.04925053533190578
45,1,73,1401,0.052105638829407566
46,1,59,1653,0.03569267997580157
47,1,72,1401,0.05139186295503212
48,1,65,1401,0.046395431834404
49,1,61,1401,0.04354032833690221
50,1,72,1406,0.051209103840682786
51,1,57,1401,0.04068522483940043
52,1,76,1401,0.05424696645253391
53,1,57,1401,0.04068522483940043
54,1,57,1401,0.04068522483940043
55,1,78,1401,0.055674518201284794
56,0,79,1401,0.05638829407566024
57,1,72,1401,0.05139186295503212
58,1,74,1456,0.050824175824175824
59,1,65,1401,0.046395431834404
60,1,65,1401,0.046395431834404
61,1,57,1401,0.04068522483940043
62,1,66,1401,0.047109207708779445
63,1,59,1493,0.03951774949765573
64,1,84,1401,0.059957173447537475
65,1,67,1401,0.04782298358315489
66,0,68,1544,0.04404145077720207
67,0,53,1401,0.03783012134189864
68,1,63,1401,0.044967880085653104
69,1,81,1401,0.057815845824411134
70,1,71,1401,0.05067808708065667
71,0,69,1401,0.04925053533190578
72,1,97,1512,0.06415343915343916
73,1,67,1401,0.04782298358315489
74,0,91,1871,0.04863709246392304
75,1,64,1401,0.04568165596002855
76,1,80,1740,0.04597701149425287
77,1,51,1401,0.03640256959314775
78,0,63,1401,0.044967880085653104
79,1,58,1426,0.04067321178120617
80,1,69,1726,0.03997682502896872
81,1,67,1401,0.04782298358315489
82,1,71,1639,0.043319097010372176
83,1,55,1401,0.039257673090649536
84,1,70,1401,0.049964311206281226
85,1,203,4676,0.04341317365269461
86,1,73,1587,0.045998739760554505
87,1,59,1517,0.03889255108767304
88,1,68,1401,0.04853675945753034
89,0,67,1530,0.04379084967320261
90,1,102,2272,0.0448943661971831
91,0,66,1401,0.047109207708779445
92,1,73,1401,0.052105638829407566
93,1,70,1401,0.049964311206281226
94,1,119,2327,0.05113880532874946
95,0,78,1401,0.055674518201284794
96,1,88,2028,0.04339250493096647
97,1,54,1401,0.03854389721627409
98,1,74,1401,0.05281941470378301
99,1,68,1405,0.048398576512455514
