,winner_idx,wins,traffic,conversion
0,1,234,5588,0.04187544738725841
1,1,73,1401,0.052105638829407566
2,1,72,1401,0.05139186295503212
3,0,60,1540,0.03896103896103896
4,1,322,6972,0.04618473895582329
5,1,66,1401,0.047109207708779445
6,1,85,1559,0.05452212957023733
7,1,63,1401,0.044967880085653104
8,1,50,1403,0.03563791874554526
9,1,94,1401,0.06709493219129194
10,1,95,1861,0.051047823750671684
11,1,80,1909,0.041906757464641176
12,0,129,2955,0.04365482233502538
13,1,81,1908,0.04245283018867924
14,1,393,8107,0.048476625138768964
15,1,121,2639,0.045850701023114816
16,0,75,1401,0.05353319057815846
17,1,115,2581,0.044556373498643935
18,1,117,2753,0.04249909189974573
19,1,68,1401,0.04853675945753034
20,1,65,1401,0.046395431834404
21,1,61,1455,0.04192439862542955
22,1,93,1665,0.055855855855855854
23,0,92,2271,0.04051078819903126
24,0,63,1401,0.044967880085653104
25,1,113,2555,0.04422700587084149
26,1,179,3773,0.047442353564802545
27,1,68,1401,0.04853675945753034
28,1,67,1476,0.04539295392953929
29,1,177,3793,0.0466649090429739
30,1,75,1401,0.05353319057815846
31,1,61,1401,0.04354032833690221
32,1,178,4106,0.04335119337554798
33,1,286,6868,0.041642399534071055
34,1,65,1408,0.04616477272727273
35,0,57,1401,0.04068522483940043
36,1,63,1401,0.044967880085653104
37,1,71,1401,0.05067808708065667
38,1,58,1401,0.04139900071377588
39,1,71,1444,0.04916897506925208
40,1,97,1401,0.06923625981441828
41,1,68,1401,0.04853675945753034
42,0,56,1401,0.03997144896502498
43,1,57,1401,0.04068522483940043
44,1,66,1401,0.047109207708779445
45,1,181,4007,0.045170950836036936
46,0,70,1430,0.04895104895104895
47,1,609,13380,0.04551569506726457
48,1,67,1401,0.04782298358315489
49,1,120,2284,0.05253940455341506
50,1,75,1610,0.046583850931677016
51,0,60,1463,0.04101161995898838
52,1,149,3033,0.0491262776129245
53,1,102,2018,0.05054509415262636
54,1,94,2365,0.039746300211416494
55,1,320,6651,0.04811306570440535
56,1,509,11329,0.04492894341954277
57,1,76,1401,0.05424696645253391
58,1,76,1442,0.052704576976421634
59,1,205,4862,0.04216371863430687
60,1,58,1468,0.039509536784741145
61,1,64,1401,0.04568165596002855
62,1,74,1401,0.05281941470378301
63,0,48,1414,0.033946251768033946
64,1,74,1505,0.04916943521594684
65,1,239,6226,0.038387407645358175
66,1,92,2174,0.04231830726770929
67,1,50,1401,0.03568879371877231
68,1,294,6673,0.044058144762475646
69,0,60,1592,0.03768844221105527
70,0,66,1715,0.03848396501457726
71,1,131,2912,0.044986263736263736
72,0,53,1401,0.03783012134189864
73,1,68,1401,0.04853675945753034
74,1,54,1401,0.03854389721627409
75,1,93,2092,0.04445506692160612
76,1,65,1401,0.046395431834404
77,1,78,1401,0.055674518201284794
78,1,98,1792,0.0546875
79,1,64,1577,0.040583386176284084
80,1,67,1401,0.04782298358315489
81,1,66,1450,0.04551724137931035
82,1,70,1401,0.049964311206281226
83,1,91,1630,0.0558282208588957
84,1,57,1401,0.04068522483940043
85,1,523,11229,0.04657583043904177
86,1,84,1688,0.04976303317535545
87,1,91,1937,0.04697986577181208
88,1,203,4271,0.047529852493561224
89,0,71,1491,0.047619047619047616
90,1,77,1533,0.0502283105022831
91,1,67,1491,0.04493628437290409
92,1,74,1677,0.044126416219439475
93,1,70,1401,0.049964311206281226
94,0,61,1401,0.04354032833690221
95,1,84,1736,0.04838709677419355
96,1,70,1401,0.049964311206281226
97,1,64,1401,0.04568165596002855
98,1,569,12800,0.044453125
99,1,61,1402,0.043509272467902996
